# Wordlist

# META
@date:2013-04-09
@source:Heath et al. (2013)

# TAXA
<taxa>
Bankan_Tey
Ben_Tey
Bunoge
Dogul_Dom
Gourou
Jamsay
Jamsay_Mondoro
Mombo
Nanga
Perge_Tegu
Tebul_Ure
Tiranige
Togo_Kan
Tommo_So
Tomo_Kan_Diangassagou
Toro_Tegu
Yanda_Dom
Yorno_So
</taxa>

# DATA
ID	CONCEPTS	TAXA	COUNTERPART	TOKENS	LEXSTATID
22	(not) yet	Gourou	dɔ̂m	d ɔ̂ m	12
23	(not) yet	Jamsay_Mondoro	dɔ̂m	d ɔ̂ m	12
24	(not) yet	Togo_Kan	námà	n á m à	21
25	(not) yet	Yorno_So	nímɛ̀	n í m ɛ̀	21
26	(not) yet	Tommo_So	nàmbá	n à m b á	21
27	(not) yet	Dogul_Dom	kàndá lò	k à n d á # l ò	13
28	(not) yet	Tebul_Ure	nán kàndà là	n á n # k à n d à # l à	13
29	(not) yet	Mombo	tápò:ⁿ	t á p òːⁿ	17
#
30	(sb) not be (somewhere), be absent (suffixed)	Toro_Tegu	yⁿáŋ̀gó	dʒⁿ á ŋ̀ ɡ ó	22
31	(sb) not be (somewhere), be absent (suffixed)	Ben_Tey	ŋ̀gó	ŋ̀ ɡ ó	22
32	(sb) not be (somewhere), be absent (suffixed)	Bankan_Tey	ŋ̀gǒ:	ŋ̀ ɡ ǒː	22
33	(sb) not be (somewhere), be absent (suffixed)	Nanga	ŋ̀gó	ŋ̀ ɡ ó	22
34	(sb) not be (somewhere), be absent (suffixed)	Jamsay	wɔ̀:rɔ́	w ɔ̀ː r ɔ́	26
35	(sb) not be (somewhere), be absent (suffixed)	Perge_Tegu	ŋ̀gó	ŋ̀ ɡ ó	22
36	(sb) not be (somewhere), be absent (suffixed)	Togo_Kan	wɔ̀:rɔ́	w ɔ̀ː r ɔ́	26
37	(sb) not be (somewhere), be absent (suffixed)	Yorno_So	wɔ̀lɔ́	w ɔ̀ l ɔ́	26
38	(sb) not be (somewhere), be absent (suffixed)	Tommo_So	òndú	ò n d ú	32
39	(sb) not be (somewhere), be absent (suffixed)	Dogul_Dom	bùnnú èlé	b ù n n ú # è l é	25
40	(sb) not be (somewhere), be absent (suffixed)	Tebul_Ure	ŋ̀gó	ŋ̀ ɡ ó	22
41	(sb) not be (somewhere), be absent (suffixed)	Yanda_Dom	ònú	ò n ú	32
42	(sb) not be (somewhere), be absent (suffixed)	Mombo	ólì	ó l ì	27
43	(sb) not be (somewhere), be absent (suffixed)	Bunoge	ʔórì	ʔ ó r ì	24
#
44	(sth) not exist, there is/are not	Toro_Tegu	yⁿáŋ̀gó	dʒⁿ á ŋ̀ ɡ ó	33
45	(sth) not exist, there is/are not	Ben_Tey	ŋ̀gó	ŋ̀ ɡ ó	33
46	(sth) not exist, there is/are not	Bankan_Tey	ŋ̀gǒ:	ŋ̀ ɡ ǒː	33
47	(sth) not exist, there is/are not	Nanga	ŋ̀gó	ŋ̀ ɡ ó	33
48	(sth) not exist, there is/are not	Jamsay	kɔ̀:rɔ́	k ɔ̀ː r ɔ́	35
49	(sth) not exist, there is/are not	Perge_Tegu	ŋ̀gó	ŋ̀ ɡ ó	33
50	(sth) not exist, there is/are not	Gourou	kɔ̀:rɔ́	k ɔ̀ː r ɔ́	35
51	(sth) not exist, there is/are not	Jamsay_Mondoro	kɔ̀:rɔ́	k ɔ̀ː r ɔ́	35
52	(sth) not exist, there is/are not	Togo_Kan	kɔ̀:rɔ́	k ɔ̀ː r ɔ́	35
53	(sth) not exist, there is/are not	Yorno_So	kɔ̀lɔ́	k ɔ̀ l ɔ́	35
54	(sth) not exist, there is/are not	Dogul_Dom	bùnnù	b ù n n ù	36
55	(sth) not exist, there is/are not	Tebul_Ure	ŋ̀gó	ŋ̀ ɡ ó	33
56	(sth) not exist, there is/are not	Yanda_Dom	ònú	ò n ú	36
57	(sth) not exist, there is/are not	Tiranige	órâ	ó r â	35
58	(sth) not exist, there is/are not	Mombo	kóná:ⁿ ólì	k ó n ã́ː # ó l ì	40
59	(sth) not exist, there is/are not	Bunoge	ʔórì	ʔ ó r ì	35
#
60	African eggplant (similar to tomato) in two varieties	Toro_Tegu	kɛ́rɛ́bɛ́rɛ́	k ɛ́ r ɛ́ b ɛ́ r ɛ́	43
61	African eggplant (similar to tomato) in two varieties	Ben_Tey	cɛ́wrɛ́	tʃ ɛ́ w r ɛ́	41
62	African eggplant (similar to tomato) in two varieties	Bankan_Tey	cɛ́wrɛ́	tʃ ɛ́ w r ɛ́	41
63	African eggplant (similar to tomato) in two varieties	Nanga	kɛ́wrɛ́	k ɛ́ w r ɛ́	41
64	African eggplant (similar to tomato) in two varieties	Jamsay	cɛ́rɛ́wɛ́	tʃ ɛ́ r ɛ́ w ɛ́	41
65	African eggplant (similar to tomato) in two varieties	Perge_Tegu	kɛ́wrɛ́	k ɛ́ w r ɛ́	41
66	African eggplant (similar to tomato) in two varieties	Gourou	kɛ́rúwɛ́	k ɛ́ r ú w ɛ́	41
67	African eggplant (similar to tomato) in two varieties	Jamsay_Mondoro	cɛ́rɛ́wɛ́	tʃ ɛ́ r ɛ́ w ɛ́	41
68	African eggplant (similar to tomato) in two varieties	Togo_Kan	kɛ́wɛ́rɛ́	k ɛ́ w ɛ́ r ɛ́	41
69	African eggplant (similar to tomato) in two varieties	Yorno_So	kɛ́lbɛ́	k ɛ́ l b ɛ́	43
70	African eggplant (similar to tomato) in two varieties	Tomo_Kan_Diangassagou	cɛ́:lɛ́	tʃ ɛ́ː l ɛ́	51
71	African eggplant (similar to tomato) in two varieties	Tommo_So	ànsààrà kɛ́lbɛ̀	à n s à à r à # k ɛ́ l b ɛ̀	53
72	African eggplant (similar to tomato) in two varieties	Dogul_Dom	kɛ́lɛ̀bɛ̀	k ɛ́ l ɛ̀ b ɛ̀	43
73	African eggplant (similar to tomato) in two varieties	Tebul_Ure	kɛ́lbá	k ɛ́ l b á	43
74	African eggplant (similar to tomato) in two varieties	Yanda_Dom	cɛ́lbá	tʃ ɛ́ l b á	43
75	African eggplant (similar to tomato) in two varieties	Tiranige	cɛ̀llɛ́	tʃ ɛ̀ l l ɛ́	51
76	African eggplant (similar to tomato) in two varieties	Mombo	kélyé	k é l dʒ é	47
#
77	God, Allah	Toro_Tegu	dìsìná:	d ì s ì n áː	66
78	God, Allah	Ben_Tey	jǐŋjɛ̀	dʒ ǐ ŋ dʒ ɛ̀	55
79	God, Allah	Bankan_Tey	zɛ́zɛ̂	z ɛ́ z ɛ̂	54
80	God, Allah	Jamsay	ámà	á m à	56
81	God, Allah	Perge_Tegu	ámà	á m à	56
82	God, Allah	Gourou	ámà	á m à	56
83	God, Allah	Jamsay_Mondoro	ámà	á m à	56
84	God, Allah	Togo_Kan	àmá	à m á	56
85	God, Allah	Yorno_So	ámà	á m à	56
86	God, Allah	Tommo_So	ámbá	á m b á	56
87	God, Allah	Dogul_Dom	ámbá	á m b á	56
88	God, Allah	Tebul_Ure	ámbá	á m b á	56
89	God, Allah	Yanda_Dom	àmbà	à m b à	56
90	God, Allah	Tiranige	á:	áː	63
91	God, Allah	Mombo	ámánà	á m á n à	56
#
92	ablutions (washing before prayer)	Toro_Tegu	sálígì	s á l í ɡ ì	67
93	ablutions (washing before prayer)	Ben_Tey	sálgù	s á l ɡ ù	67
94	ablutions (washing before prayer)	Bankan_Tey	sállìgì	s á l l ì ɡ ì	67
95	ablutions (washing before prayer)	Nanga	sálígì	s á l í ɡ ì	67
96	ablutions (washing before prayer)	Jamsay	sállígù	s á l l í ɡ ù	67
97	ablutions (washing before prayer)	Perge_Tegu	sálgù	s á l ɡ ù	67
98	ablutions (washing before prayer)	Gourou	sálgù	s á l ɡ ù	67
99	ablutions (washing before prayer)	Togo_Kan	sáⁿlìgì	s ã́ l ì ɡ ì	67
100	ablutions (washing before prayer)	Yorno_So	sálgù	s á l ɡ ù	67
101	ablutions (washing before prayer)	Tommo_So	sállìgì	s á l l ì ɡ ì	67
102	ablutions (washing before prayer)	Dogul_Dom	sállùgù	s á l l ù ɡ ù	67
103	ablutions (washing before prayer)	Tebul_Ure	sálìkì	s á l ì k ì	67
104	ablutions (washing before prayer)	Yanda_Dom	sálìgù	s á l ì ɡ ù	67
105	ablutions (washing before prayer)	Mombo	sálégè	s á l é ɡ è	67
#
106	act of clearing (land) with an ax	Toro_Tegu	tɛ́rù	t ɛ́ r ù	68
107	act of clearing (land) with an ax	Ben_Tey	tɛ̀rî:	t ɛ̀ r îː	68
108	act of clearing (land) with an ax	Bankan_Tey	tɛ̀rî:	t ɛ̀ r îː	68
109	act of clearing (land) with an ax	Nanga	tɛ́rɛ́ndɛ́	t ɛ́ r ɛ́ n d ɛ́	68
110	act of clearing (land) with an ax	Jamsay	tɛ́rù	t ɛ́ r ù	68
111	act of clearing (land) with an ax	Perge_Tegu	térú	t é r ú	68
112	act of clearing (land) with an ax	Gourou	tɛ́rú	t ɛ́ r ú	68
113	act of clearing (land) with an ax	Togo_Kan	tɛ́rú	t ɛ́ r ú	68
114	act of clearing (land) with an ax	Yorno_So	tél	t é l	68
115	act of clearing (land) with an ax	Tomo_Kan_Diangassagou	cè	tʃ è	68
116	act of clearing (land) with an ax	Tommo_So	tɔ́ɔ́	t ɔ́ ɔ́	68
117	act of clearing (land) with an ax	Tebul_Ure	àndàbírá:	à n d à b í r áː	72
118	act of clearing (land) with an ax	Yanda_Dom	cíbù	tʃ í b ù	80
119	act of clearing (land) with an ax	Mombo	gánjáléŋgé	ɡ á n dʒ á l é ŋ ɡ é	72
#
120	act of defecating	Toro_Tegu	bɔ́sɔ́	b ɔ́ s ɔ́	91
121	act of defecating	Ben_Tey	sùwɔ́	s ù w ɔ́	81
122	act of defecating	Bankan_Tey	sùwá	s ù w á	81
123	act of defecating	Nanga	sùgɔ́	s ù ɡ ɔ́	81
124	act of defecating	Jamsay	bɛ́:	b ɛ́ː	83
125	act of defecating	Perge_Tegu	bɛ́:	b ɛ́ː	83
126	act of defecating	Gourou	bɛ́:	b ɛ́ː	83
127	act of defecating	Togo_Kan	bɛ́:	b ɛ́ː	83
128	act of defecating	Yorno_So	bɔ́jɔ̀	b ɔ́ dʒ ɔ̀	91
129	act of defecating	Tommo_So	bɔ̀dɔ̀ bɔ́dɔ́	b ɔ̀ d ɔ̀ # b ɔ́ d ɔ́	91
130	act of defecating	Tebul_Ure	sùgǎ:	s ù ɡ ǎː	81
131	act of defecating	Yanda_Dom	sùwà	s ù w à	81
132	act of defecating	Tiranige	súgɔ́	s ú ɡ ɔ́	81
133	act of defecating	Mombo	sùgɔ̀ súgóŋgé	s ù ɡ ɔ̀ # s ú ɡ ó ŋ ɡ é	85
#
134	animal fat (in meat)	Toro_Tegu	síwó	s í w ó	92
135	animal fat (in meat)	Ben_Tey	sî:ⁿ	s ĩ̂ː	92
136	animal fat (in meat)	Bankan_Tey	sî:ⁿ	s ĩ̂ː	92
137	animal fat (in meat)	Nanga	síyⁿɛ̂	s í dʒⁿ ɛ̂	92
138	animal fat (in meat)	Jamsay	sê:	s êː	92
139	animal fat (in meat)	Perge_Tegu	šíyè	ʃ í dʒ è	92
140	animal fat (in meat)	Jamsay_Mondoro	sê:	s êː	92
141	animal fat (in meat)	Togo_Kan	nɔ̀wⁿɔ̀síwé	n ɔ̀ w̃ ɔ̀ s í w é	103
142	animal fat (in meat)	Yorno_So	sî:	s îː	92
143	animal fat (in meat)	Tomo_Kan_Diangassagou	swé:	s w éː	92
144	animal fat (in meat)	Tommo_So	nàmà síyé	n à m à # s í dʒ é	104
145	animal fat (in meat)	Dogul_Dom	síìŋ	s í ì ŋ	92
146	animal fat (in meat)	Tebul_Ure	sé:	s éː	92
147	animal fat (in meat)	Yanda_Dom	sɔ́ŋɔ̀	s ɔ́ ŋ ɔ̀	107
148	animal fat (in meat)	Tiranige	sìyò	s ì dʒ ò	92
149	animal fat (in meat)	Mombo	síwó	s í w ó	92
150	animal fat (in meat)	Bunoge	sìwò	s ì w ò	92
#
151	ashes	Toro_Tegu	dòwⁿòsú	d ò w̃ ò s ú	113
152	ashes	Ben_Tey	dɔ̀yⁿɔ̌yⁿ	d ɔ̀ dʒⁿ ɔ̌ dʒⁿ	108
153	ashes	Bankan_Tey	dɔ̀yⁿɔ̌yⁿ	d ɔ̀ dʒⁿ ɔ̌ dʒⁿ	108
154	ashes	Nanga	dùyá	d ù dʒ á	108
155	ashes	Jamsay	dɔ̀yⁿɔ́	d ɔ̀ dʒⁿ ɔ́	108
156	ashes	Perge_Tegu	dɔ̀yⁿɔ́	d ɔ̀ dʒⁿ ɔ́	108
157	ashes	Gourou	ɛ́:rⁿɛ̀	ɛ́ː r̃ ɛ̀	111
158	ashes	Togo_Kan	dɔ̀yⁿɛ́	d ɔ̀ dʒⁿ ɛ́	108
159	ashes	Yorno_So	únɔ̀	ú n ɔ̀	122
160	ashes	Tomo_Kan_Diangassagou	dwɛ́ⁿ	d w ɛ̃́	113
161	ashes	Dogul_Dom	dɔ́ɔ̀	d ɔ́ ɔ̀	108
162	ashes	Tebul_Ure	dɔ̀ɛ́	d ɔ̀ ɛ́	108
163	ashes	Yanda_Dom	dɔ̀yⁿɛ̀	d ɔ̀ dʒⁿ ɛ̀	108
164	ashes	Tiranige	dwɛ́:	d w ɛ́ː	113
165	ashes	Mombo	dwɛ̂:	d w ɛ̂ː	113
#
166	back (body)	Toro_Tegu	tùŋɔ́	t ù ŋ ɔ́	128
167	back (body)	Ben_Tey	tùlùkɛ́lɛ̀	t ù l ù k ɛ́ l ɛ̀	123
168	back (body)	Nanga	tùndù bìrⁿɛ́	t ù n d ù # b ì r̃ ɛ́	128
169	back (body)	Perge_Tegu	tùrkɛ́lɛ́	t ù r k ɛ́ l ɛ́	123
170	back (body)	Gourou	gùn kɛ́nɛ́	ɡ ù n # k ɛ́ n ɛ́	126
171	back (body)	Jamsay_Mondoro	gùncɛ́nɛ́	ɡ ù n tʃ ɛ́ n ɛ́	125
172	back (body)	Togo_Kan	dògòkɛ́nɛ́	d ò ɡ ò k ɛ́ n ɛ́	133
173	back (body)	Yorno_So	ònɔ́	ò n ɔ́	134
174	back (body)	Tomo_Kan_Diangassagou	dùgòlò	d ù ɡ ò l ò	123
175	back (body)	Tommo_So	ònnú	ò n n ú	134
176	back (body)	Dogul_Dom	ǹdóŋ	ǹ d ó ŋ	125
177	back (body)	Tebul_Ure	kúndúgó	k ú n d ú ɡ ó	125
178	back (body)	Yanda_Dom	tùnù	t ù n ù	128
179	back (body)	Tiranige	kùŋgù	k ù ŋ ɡ ù	125
180	back (body)	Mombo	túndú	t ú n d ú	128
181	back (body)	Bunoge	pùmbù	p ù m b ù	124
#
182	be sitting (stative)	Toro_Tegu	dìŋgú dà	d ì ŋ ɡ ú # d à	145
183	be sitting (stative)	Ben_Tey	ìéwyé	ì é w dʒ é	135
184	be sitting (stative)	Nanga	éèwò	é è w ò	140
185	be sitting (stative)	Jamsay	dà:ⁿ	d ã̀ː	137
186	be sitting (stative)	Perge_Tegu	dàŋgà	d à ŋ ɡ à	137
187	be sitting (stative)	Jamsay_Mondoro	dà:ⁿ	d ã̀ː	137
188	be sitting (stative)	Togo_Kan	dàŋà	d à ŋ à	137
189	be sitting (stative)	Yorno_So	dìdâ:ⁿ	d ì d âːⁿ	137
190	be sitting (stative)	Tomo_Kan_Diangassagou	yè dàʔⁿá	dʒ è # d à ʔ á	145
191	be sitting (stative)	Tommo_So	dàdáá	d à d á á	137
192	be sitting (stative)	Dogul_Dom	òbìyé	ò b ì dʒ é	136
193	be sitting (stative)	Yanda_Dom	óbò	ó b ò	136
194	be sitting (stative)	Tiranige	ówà	ó w à	140
195	be sitting (stative)	Mombo	dá:ⁿ	d ã́ː	137
#
196	beard	Ben_Tey	bɛ᷈yⁿ	b ɛ᷈ dʒⁿ	146
197	beard	Bankan_Tey	bɛ᷈yⁿ	b ɛ᷈ dʒⁿ	146
198	beard	Nanga	bɛ̀bɛ᷈:	b ɛ̀ b ɛ᷈ː	146
199	beard	Jamsay	bɛ̀w kúrɔ́	b ɛ̀ w # k ú r ɔ́	149
200	beard	Perge_Tegu	bɛ̀bɛ̌w	b ɛ̀ b ɛ̌ w	146
201	beard	Gourou	bɛ̀w kúrɔ́	b ɛ̀ w # k ú r ɔ́	149
202	beard	Jamsay_Mondoro	bɛ̀w kúrɔ́	b ɛ̀ w # k ú r ɔ́	149
203	beard	Togo_Kan	bɛ̌	b ɛ̌	146
204	beard	Yorno_So	bɛ̌:	b ɛ̌ː	146
205	beard	Tomo_Kan_Diangassagou	byà:	b dʒ àː	158
206	beard	Tommo_So	bɛ̀ɛ́	b ɛ̀ ɛ́	146
207	beard	Tebul_Ure	bèyà:kúlà	b è dʒ àː k ú l à	148
208	beard	Yanda_Dom	bìyàkùlà	b ì dʒ à k ù l à	148
209	beard	Mombo	bé:ⁿ kùlɛ̀	b ẽ́ # k ù l ɛ̀	149
210	beard	Bunoge	ʔɔ̀ndɔ́kùlɛ̀	ʔ ɔ̀ n d ɔ́ k ù l ɛ̀	148
#
211	belching, burp (noun)	Toro_Tegu	bèríyò	b è r í dʒ ò	159
212	belching, burp (noun)	Ben_Tey	bégérè	b é ɡ é r è	159
213	belching, burp (noun)	Bankan_Tey	bè:rê	b èː r ê	159
214	belching, burp (noun)	Nanga	jígâ	dʒ í ɡ â	164
215	belching, burp (noun)	Jamsay	bègérè	b è ɡ é r è	159
216	belching, burp (noun)	Perge_Tegu	bégúrù	b é ɡ ú r ù	159
217	belching, burp (noun)	Gourou	bégúrù	b é ɡ ú r ù	159
218	belching, burp (noun)	Yorno_So	bè:gɛ̂:	b èː ɡ ɛ̂ː	159
219	belching, burp (noun)	Tomo_Kan_Diangassagou	gè:	ɡ èː	163
220	belching, burp (noun)	Tommo_So	gìyǎw	ɡ ì dʒ ǎ w	167
221	belching, burp (noun)	Tebul_Ure	bè:líyá	b èː l í dʒ á	159
222	belching, burp (noun)	Yanda_Dom	bè:lìyà	b èː l ì dʒ à	159
223	belching, burp (noun)	Tiranige	bɛ́:w	b ɛ́ː w	167
224	belching, burp (noun)	Mombo	gélè	ɡ é l è	163
#
225	bell (e.g. for cow)	Toro_Tegu	délúré	d é l ú r é	171
226	bell (e.g. for cow)	Ben_Tey	léŋgúrù	l é ŋ ɡ ú r ù	168
227	bell (e.g. for cow)	Bankan_Tey	léŋgùrù	l é ŋ ɡ ù r ù	168
228	bell (e.g. for cow)	Nanga	kòròkórô	k ò r ò k ó r ô	175
229	bell (e.g. for cow)	Jamsay	léŋgírì	l é ŋ ɡ í r ì	168
230	bell (e.g. for cow)	Perge_Tegu	léŋgúrù	l é ŋ ɡ ú r ù	168
231	bell (e.g. for cow)	Gourou	tónóróm	t ó n ó r ó m	171
232	bell (e.g. for cow)	Jamsay_Mondoro	léŋgúrù	l é ŋ ɡ ú r ù	168
233	bell (e.g. for cow)	Togo_Kan	tɔ̀ⁿtɔ̀rⁿɛ́	t ɔ̃̀ t ɔ̀ r̃ ɛ́	171
234	bell (e.g. for cow)	Yorno_So	gàndèý	ɡ à n d è dʒ́	178
235	bell (e.g. for cow)	Tommo_So	gándèy	ɡ á n d è dʒ	178
236	bell (e.g. for cow)	Dogul_Dom	néɲgùrù	n é ɲ ɡ ù r ù	168
237	bell (e.g. for cow)	Yanda_Dom	lèŋgúrù	l è ŋ ɡ ú r ù	168
238	bell (e.g. for cow)	Mombo	tɔ́ndɔ́lɔ́	t ɔ́ n d ɔ́ l ɔ́	171
#
239	belly	Ben_Tey	pìré	p ì r é	179
240	belly	Bankan_Tey	pìré	p ì r é	179
241	belly	Nanga	bèndé	b è n d é	179
242	belly	Jamsay	bɛ̀rɛ́	b ɛ̀ r ɛ́	179
243	belly	Perge_Tegu	bɛ̀rɛ́	b ɛ̀ r ɛ́	179
244	belly	Gourou	bɛ̀rɛ́	b ɛ̀ r ɛ́	179
245	belly	Yorno_So	bɛ̀rɛ́	b ɛ̀ r ɛ́	179
246	belly	Tomo_Kan_Diangassagou	bìndì	b ì n d ì	179
247	belly	Tommo_So	bɛ̀rɛ́	b ɛ̀ r ɛ́	179
248	belly	Dogul_Dom	bɛ̀rɔ́	b ɛ̀ r ɔ́	179
249	belly	Tebul_Ure	bèrǎ:	b è r ǎː	179
250	belly	Yanda_Dom	bɛ̀dɛ̀	b ɛ̀ d ɛ̀	179
251	belly	Tiranige	pìndì	p ì n d ì	179
252	belly	Mombo	píjí	p í dʒ í	179
253	belly	Bunoge	dólè	d ó l è	181
#
254	bit (mouthpiece for horse etc.)	Toro_Tegu	kàrúm	k à r ú m	182
255	bit (mouthpiece for horse etc.)	Ben_Tey	kàrmbú	k à r m b ú	182
256	bit (mouthpiece for horse etc.)	Bankan_Tey	kàràmbú	k à r à m b ú	182
257	bit (mouthpiece for horse etc.)	Nanga	kàrmbí	k à r m b í	182
258	bit (mouthpiece for horse etc.)	Jamsay	kàrúm	k à r ú m	182
259	bit (mouthpiece for horse etc.)	Perge_Tegu	kàrǔm	k à r ǔ m	182
260	bit (mouthpiece for horse etc.)	Gourou	kàrúm	k à r ú m	182
261	bit (mouthpiece for horse etc.)	Togo_Kan	kàyⁿɛ́	k à dʒⁿ ɛ́	191
262	bit (mouthpiece for horse etc.)	Yorno_So	kàlmú	k à l m ú	182
263	bit (mouthpiece for horse etc.)	Tomo_Kan_Diangassagou	kàlàwⁿ	k à l à w̃	193
264	bit (mouthpiece for horse etc.)	Tommo_So	kàlàmbú	k à l à m b ú	182
265	bit (mouthpiece for horse etc.)	Tebul_Ure	kɛ̀rɛ̀mbú	k ɛ̀ r ɛ̀ m b ú	182
266	bit (mouthpiece for horse etc.)	Yanda_Dom	kàlàmbú	k à l à m b ú	182
267	bit (mouthpiece for horse etc.)	Mombo	kàlàbú	k à l à b ú	182
268	bit (mouthpiece for horse etc.)	Bunoge	làbàŋgá	l à b à ŋ ɡ á	184
#
269	black, dark	Toro_Tegu	jɛ́m	dʒ ɛ́ m	194
270	black, dark	Bankan_Tey	jɛ̀mɛ̂yⁿ	dʒ ɛ̀ m ɛ̂ dʒⁿ	194
271	black, dark	Nanga	jɛ́mí	dʒ ɛ́ m í	194
272	black, dark	Jamsay	jɛ́m	dʒ ɛ́ m	194
273	black, dark	Perge_Tegu	jém	dʒ é m	194
274	black, dark	Gourou	gɛ́m	ɡ ɛ́ m	194
275	black, dark	Jamsay_Mondoro	jɛ́m	dʒ ɛ́ m	194
276	black, dark	Togo_Kan	gɛ́ⁿ	ɡ ɛ̃́	194
277	black, dark	Yorno_So	gɛ́m	ɡ ɛ́ m	194
278	black, dark	Tommo_So	gɛ́m	ɡ ɛ́ m	194
279	black, dark	Dogul_Dom	gɛ́mɛ̀ŋ	ɡ ɛ́ m ɛ̀ ŋ	194
280	black, dark	Yanda_Dom	jèmɛ́	dʒ è m ɛ́	194
281	black, dark	Tiranige	jɛ́mɛ́	dʒ ɛ́ m ɛ́	194
282	black, dark	Mombo	wɛ́rɛ́dɛ́	w ɛ́ r ɛ́ d ɛ́	200
283	black, dark	Bunoge	yɔ̀:lɛ̀	dʒ ɔ̀ː l ɛ̀	195
#
284	bladder	Toro_Tegu	pí:lòm	p íː l ò m	204
285	bladder	Ben_Tey	ɔ̀mjù dérí	ɔ̀ m dʒ ù # d é r í	202
286	bladder	Bankan_Tey	ɔ̀zɔ̀tǒỳ	ɔ̀ z ɔ̀ t ǒ dʒ̀	201
287	bladder	Nanga	ònjètúsá	ò n dʒ è t ú s á	203
288	bladder	Jamsay	pí:lòm	p íː l ò m	204
289	bladder	Perge_Tegu	pí:lòm	p íː l ò m	204
290	bladder	Togo_Kan	ìⁿsìrⁿìjógó	ĩ̀ s ì r̃ ì dʒ ó ɡ ó	201
291	bladder	Yorno_So	ìsàndǒm	ì s à n d ǒ m	201
292	bladder	Tomo_Kan_Diangassagou	ʔùnjùrùsúⁿ	ʔ ù n dʒ ù r ù s ṹ	203
293	bladder	Tommo_So	ǹjàrìì bǔy	ǹ dʒ à r ì ì # b ǔ dʒ	210
294	bladder	Dogul_Dom	ɲjátòŋ	ɲ dʒ á t ò ŋ	203
295	bladder	Tebul_Ure	èndìlèɔ́gùbɔ̀	è n d ì l è ɔ́ ɡ ù b ɔ̀	207
296	bladder	Yanda_Dom	òmzùtél	ò m z ù t é l	213
297	bladder	Tiranige	tòjì	t ò dʒ ì	208
#
298	blister (on skin)	Toro_Tegu	zòrú	z ò r ú	215
299	blister (on skin)	Ben_Tey	jòrî:	dʒ ò r îː	215
300	blister (on skin)	Bankan_Tey	ìrɛ̌y	ì r ɛ̌ dʒ	214
301	blister (on skin)	Nanga	jórô	dʒ ó r ô	215
302	blister (on skin)	Jamsay	jòrú	dʒ ò r ú	215
303	blister (on skin)	Perge_Tegu	jórò	dʒ ó r ò	215
304	blister (on skin)	Jamsay_Mondoro	jòrú	dʒ ò r ú	215
305	blister (on skin)	Togo_Kan	jòrú	dʒ ò r ú	215
306	blister (on skin)	Yorno_So	jòrú	dʒ ò r ú	215
307	blister (on skin)	Tommo_So	ùmmùgò jógó	ù m m ù ɡ ò # dʒ ó ɡ ó	224
308	blister (on skin)	Dogul_Dom	nùmɔ̀ kérú	n ù m ɔ̀ # k é r ú	216
309	blister (on skin)	Tebul_Ure	zòrú	z ò r ú	215
310	blister (on skin)	Yanda_Dom	zòrù	z ò r ù	215
311	blister (on skin)	Mombo	bɔ́nɔ́nɔ̀	b ɔ́ n ɔ́ n ɔ̀	219
#
312	blood	Toro_Tegu	néŋ	n é ŋ	229
313	blood	Ben_Tey	gòŋgòró	ɡ ò ŋ ɡ ò r ó	225
314	blood	Bankan_Tey	gòŋgòró	ɡ ò ŋ ɡ ò r ó	225
