# Wordlist

# META
@date:2013-04-09
@source:Heath et al. (2013)

# TAXA
<taxa>
Bankan_Tey
Ben_Tey
Bunoge
Dogul_Dom
Gourou
Jamsay
Jamsay_Mondoro
Mombo
Nanga
Perge_Tegu
Tebul_Ure
Tiranige
Togo_Kan
Tommo_So
Tomo_Kan_Diangassagou
Toro_Tegu
Yanda_Dom
Yorno_So
</taxa>

# DATA
ID	DOCULECT	COUNTERPART	CONCEPT	TOKENS
83	Jamsay_Mondoro	ámà	God, Allah	á m à
84	Togo_Kan	àmá	God, Allah	à m á
85	Yorno_So	ámà	God, Allah	á m à
86	Tommo_So	ámbá	God, Allah	á m b á
87	Dogul_Dom	ámbá	God, Allah	á m b á
88	Tebul_Ure	ámbá	God, Allah	á m b á
89	Yanda_Dom	àmbà	God, Allah	à m b à
90	Tiranige	á:	God, Allah	áː
91	Mombo	ámánà	God, Allah	á m á n à
#
92	Toro_Tegu	sálígì	ablutions (washing before prayer)	s á l í ɡ ì
93	Ben_Tey	sálgù	ablutions (washing before prayer)	s á l ɡ ù
94	Bankan_Tey	sállìgì	ablutions (washing before prayer)	s á l l ì ɡ ì
95	Nanga	sálígì	ablutions (washing before prayer)	s á l í ɡ ì
96	Jamsay	sállígù	ablutions (washing before prayer)	s á l l í ɡ ù
97	Perge_Tegu	sálgù	ablutions (washing before prayer)	s á l ɡ ù
98	Gourou	sálgù	ablutions (washing before prayer)	s á l ɡ ù
99	Togo_Kan	sáⁿlìgì	ablutions (washing before prayer)	s ã́ l ì ɡ ì
100	Yorno_So	sálgù	ablutions (washing before prayer)	s á l ɡ ù
101	Tommo_So	sállìgì	ablutions (washing before prayer)	s á l l ì ɡ ì
102	Dogul_Dom	sállùgù	ablutions (washing before prayer)	s á l l ù ɡ ù
103	Tebul_Ure	sálìkì	ablutions (washing before prayer)	s á l ì k ì
104	Yanda_Dom	sálìgù	ablutions (washing before prayer)	s á l ì ɡ ù
105	Mombo	sálégè	ablutions (washing before prayer)	s á l é ɡ è
#
106	Toro_Tegu	tɛ́rù	act of clearing (land) with an ax	t ɛ́ r ù
107	Ben_Tey	tɛ̀rî:	act of clearing (land) with an ax	t ɛ̀ r îː
108	Bankan_Tey	tɛ̀rî:	act of clearing (land) with an ax	t ɛ̀ r îː
109	Nanga	tɛ́rɛ́ndɛ́	act of clearing (land) with an ax	t ɛ́ r ɛ́ n d ɛ́
110	Jamsay	tɛ́rù	act of clearing (land) with an ax	t ɛ́ r ù
111	Perge_Tegu	térú	act of clearing (land) with an ax	t é r ú
112	Gourou	tɛ́rú	act of clearing (land) with an ax	t ɛ́ r ú
113	Togo_Kan	tɛ́rú	act of clearing (land) with an ax	t ɛ́ r ú
114	Yorno_So	tél	act of clearing (land) with an ax	t é l
115	Tomo_Kan_Diangassagou	cè	act of clearing (land) with an ax	tʃ è
116	Tommo_So	tɔ́ɔ́	act of clearing (land) with an ax	t ɔ́ ɔ́
117	Tebul_Ure	àndàbírá:	act of clearing (land) with an ax	à n d à b í r áː
118	Yanda_Dom	cíbù	act of clearing (land) with an ax	tʃ í b ù
119	Mombo	gánjáléŋgé	act of clearing (land) with an ax	ɡ á n dʒ á l é ŋ ɡ é
#
120	Toro_Tegu	bɔ́sɔ́	act of defecating	b ɔ́ s ɔ́
121	Ben_Tey	sùwɔ́	act of defecating	s ù w ɔ́
122	Bankan_Tey	sùwá	act of defecating	s ù w á
123	Nanga	sùgɔ́	act of defecating	s ù ɡ ɔ́
124	Jamsay	bɛ́:	act of defecating	b ɛ́ː
125	Perge_Tegu	bɛ́:	act of defecating	b ɛ́ː
126	Gourou	bɛ́:	act of defecating	b ɛ́ː
127	Togo_Kan	bɛ́:	act of defecating	b ɛ́ː
128	Yorno_So	bɔ́jɔ̀	act of defecating	b ɔ́ dʒ ɔ̀
129	Tommo_So	bɔ̀dɔ̀ bɔ́dɔ́	act of defecating	b ɔ̀ d ɔ̀ # b ɔ́ d ɔ́
130	Tebul_Ure	sùgǎ:	act of defecating	s ù ɡ ǎː
131	Yanda_Dom	sùwà	act of defecating	s ù w à
132	Tiranige	súgɔ́	act of defecating	s ú ɡ ɔ́
133	Mombo	sùgɔ̀ súgóŋgé	act of defecating	s ù ɡ ɔ̀ # s ú ɡ ó ŋ ɡ é
#
134	Toro_Tegu	síwó	animal fat (in meat)	s í w ó
135	Ben_Tey	sî:ⁿ	animal fat (in meat)	s ĩ̂ː
136	Bankan_Tey	sî:ⁿ	animal fat (in meat)	s ĩ̂ː
137	Nanga	síyⁿɛ̂	animal fat (in meat)	s í dʒⁿ ɛ̂
138	Jamsay	sê:	animal fat (in meat)	s êː
139	Perge_Tegu	šíyè	animal fat (in meat)	ʃ í dʒ è
140	Jamsay_Mondoro	sê:	animal fat (in meat)	s êː
141	Togo_Kan	nɔ̀wⁿɔ̀síwé	animal fat (in meat)	n ɔ̀ w̃ ɔ̀ s í w é
142	Yorno_So	sî:	animal fat (in meat)	s îː
143	Tomo_Kan_Diangassagou	swé:	animal fat (in meat)	s w éː
144	Tommo_So	nàmà síyé	animal fat (in meat)	n à m à # s í dʒ é
145	Dogul_Dom	síìŋ	animal fat (in meat)	s í ì ŋ
146	Tebul_Ure	sé:	animal fat (in meat)	s éː
147	Yanda_Dom	sɔ́ŋɔ̀	animal fat (in meat)	s ɔ́ ŋ ɔ̀
148	Tiranige	sìyò	animal fat (in meat)	s ì dʒ ò
149	Mombo	síwó	animal fat (in meat)	s í w ó
150	Bunoge	sìwò	animal fat (in meat)	s ì w ò
#
151	Toro_Tegu	dòwⁿòsú	ashes	d ò w̃ ò s ú
152	Ben_Tey	dɔ̀yⁿɔ̌yⁿ	ashes	d ɔ̀ dʒⁿ ɔ̌ dʒⁿ
153	Bankan_Tey	dɔ̀yⁿɔ̌yⁿ	ashes	d ɔ̀ dʒⁿ ɔ̌ dʒⁿ
154	Nanga	dùyá	ashes	d ù dʒ á
155	Jamsay	dɔ̀yⁿɔ́	ashes	d ɔ̀ dʒⁿ ɔ́
156	Perge_Tegu	dɔ̀yⁿɔ́	ashes	d ɔ̀ dʒⁿ ɔ́
157	Gourou	ɛ́:rⁿɛ̀	ashes	ɛ́ː r̃ ɛ̀
158	Togo_Kan	dɔ̀yⁿɛ́	ashes	d ɔ̀ dʒⁿ ɛ́
159	Yorno_So	únɔ̀	ashes	ú n ɔ̀
160	Tomo_Kan_Diangassagou	dwɛ́ⁿ	ashes	d w ɛ̃́
161	Dogul_Dom	dɔ́ɔ̀	ashes	d ɔ́ ɔ̀
162	Tebul_Ure	dɔ̀ɛ́	ashes	d ɔ̀ ɛ́
163	Yanda_Dom	dɔ̀yⁿɛ̀	ashes	d ɔ̀ dʒⁿ ɛ̀
164	Tiranige	dwɛ́:	ashes	d w ɛ́ː
165	Mombo	dwɛ̂:	ashes	d w ɛ̂ː
#
166	Toro_Tegu	tùŋɔ́	back (body)	t ù ŋ ɔ́
167	Ben_Tey	tùlùkɛ́lɛ̀	back (body)	t ù l ù k ɛ́ l ɛ̀
168	Nanga	tùndù bìrⁿɛ́	back (body)	t ù n d ù # b ì r̃ ɛ́
169	Perge_Tegu	tùrkɛ́lɛ́	back (body)	t ù r k ɛ́ l ɛ́
170	Gourou	gùn kɛ́nɛ́	back (body)	ɡ ù n # k ɛ́ n ɛ́
171	Jamsay_Mondoro	gùncɛ́nɛ́	back (body)	ɡ ù n tʃ ɛ́ n ɛ́
172	Togo_Kan	dògòkɛ́nɛ́	back (body)	d ò ɡ ò k ɛ́ n ɛ́
173	Yorno_So	ònɔ́	back (body)	ò n ɔ́
174	Tomo_Kan_Diangassagou	dùgòlò	back (body)	d ù ɡ ò l ò
175	Tommo_So	ònnú	back (body)	ò n n ú
176	Dogul_Dom	ǹdóŋ	back (body)	ǹ d ó ŋ
177	Tebul_Ure	kúndúgó	back (body)	k ú n d ú ɡ ó
178	Yanda_Dom	tùnù	back (body)	t ù n ù
179	Tiranige	kùŋgù	back (body)	k ù ŋ ɡ ù
180	Mombo	túndú	back (body)	t ú n d ú
181	Bunoge	pùmbù	back (body)	p ù m b ù
#
182	Toro_Tegu	dìŋgú dà	be sitting (stative)	d ì ŋ ɡ ú # d à
183	Ben_Tey	ìéwyé	be sitting (stative)	ì é w dʒ é
184	Nanga	éèwò	be sitting (stative)	é è w ò
185	Jamsay	dà:ⁿ	be sitting (stative)	d ã̀ː
186	Perge_Tegu	dàŋgà	be sitting (stative)	d à ŋ ɡ à
187	Jamsay_Mondoro	dà:ⁿ	be sitting (stative)	d ã̀ː
188	Togo_Kan	dàŋà	be sitting (stative)	d à ŋ à
189	Yorno_So	dìdâ:ⁿ	be sitting (stative)	d ì d âːⁿ
190	Tomo_Kan_Diangassagou	yè dàʔⁿá	be sitting (stative)	dʒ è # d à ʔ á
191	Tommo_So	dàdáá	be sitting (stative)	d à d á á
192	Dogul_Dom	òbìyé	be sitting (stative)	ò b ì dʒ é
193	Yanda_Dom	óbò	be sitting (stative)	ó b ò
194	Tiranige	ówà	be sitting (stative)	ó w à
195	Mombo	dá:ⁿ	be sitting (stative)	d ã́ː
#
196	Ben_Tey	bɛ᷈yⁿ	beard	b ɛ᷈ dʒⁿ
197	Bankan_Tey	bɛ᷈yⁿ	beard	b ɛ᷈ dʒⁿ
198	Nanga	bɛ̀bɛ᷈:	beard	b ɛ̀ b ɛ᷈ː
199	Jamsay	bɛ̀w kúrɔ́	beard	b ɛ̀ w # k ú r ɔ́
200	Perge_Tegu	bɛ̀bɛ̌w	beard	b ɛ̀ b ɛ̌ w
201	Gourou	bɛ̀w kúrɔ́	beard	b ɛ̀ w # k ú r ɔ́
202	Jamsay_Mondoro	bɛ̀w kúrɔ́	beard	b ɛ̀ w # k ú r ɔ́
203	Togo_Kan	bɛ̌	beard	b ɛ̌
204	Yorno_So	bɛ̌:	beard	b ɛ̌ː
205	Tomo_Kan_Diangassagou	byà:	beard	b dʒ àː
206	Tommo_So	bɛ̀ɛ́	beard	b ɛ̀ ɛ́
207	Tebul_Ure	bèyà:kúlà	beard	b è dʒ àː k ú l à
208	Yanda_Dom	bìyàkùlà	beard	b ì dʒ à k ù l à
209	Mombo	bé:ⁿ kùlɛ̀	beard	b ẽ́ # k ù l ɛ̀
210	Bunoge	ʔɔ̀ndɔ́kùlɛ̀	beard	ʔ ɔ̀ n d ɔ́ k ù l ɛ̀
#
211	Toro_Tegu	bèríyò	belching, burp (noun)	b è r í dʒ ò
212	Ben_Tey	bégérè	belching, burp (noun)	b é ɡ é r è
213	Bankan_Tey	bè:rê	belching, burp (noun)	b èː r ê
214	Nanga	jígâ	belching, burp (noun)	dʒ í ɡ â
215	Jamsay	bègérè	belching, burp (noun)	b è ɡ é r è
216	Perge_Tegu	bégúrù	belching, burp (noun)	b é ɡ ú r ù
217	Gourou	bégúrù	belching, burp (noun)	b é ɡ ú r ù
218	Yorno_So	bè:gɛ̂:	belching, burp (noun)	b èː ɡ ɛ̂ː
219	Tomo_Kan_Diangassagou	gè:	belching, burp (noun)	ɡ èː
220	Tommo_So	gìyǎw	belching, burp (noun)	ɡ ì dʒ ǎ w
221	Tebul_Ure	bè:líyá	belching, burp (noun)	b èː l í dʒ á
222	Yanda_Dom	bè:lìyà	belching, burp (noun)	b èː l ì dʒ à
223	Tiranige	bɛ́:w	belching, burp (noun)	b ɛ́ː w
224	Mombo	gélè	belching, burp (noun)	ɡ é l è
#
225	Toro_Tegu	délúré	bell (e.g. for cow)	d é l ú r é
226	Ben_Tey	léŋgúrù	bell (e.g. for cow)	l é ŋ ɡ ú r ù
227	Bankan_Tey	léŋgùrù	bell (e.g. for cow)	l é ŋ ɡ ù r ù
228	Nanga	kòròkórô	bell (e.g. for cow)	k ò r ò k ó r ô
229	Jamsay	léŋgírì	bell (e.g. for cow)	l é ŋ ɡ í r ì
230	Perge_Tegu	léŋgúrù	bell (e.g. for cow)	l é ŋ ɡ ú r ù
231	Gourou	tónóróm	bell (e.g. for cow)	t ó n ó r ó m
232	Jamsay_Mondoro	léŋgúrù	bell (e.g. for cow)	l é ŋ ɡ ú r ù
233	Togo_Kan	tɔ̀ⁿtɔ̀rⁿɛ́	bell (e.g. for cow)	t ɔ̃̀ t ɔ̀ r̃ ɛ́
234	Yorno_So	gàndèý	bell (e.g. for cow)	ɡ à n d è dʒ́
235	Tommo_So	gándèy	bell (e.g. for cow)	ɡ á n d è dʒ
236	Dogul_Dom	néɲgùrù	bell (e.g. for cow)	n é ɲ ɡ ù r ù
237	Yanda_Dom	lèŋgúrù	bell (e.g. for cow)	l è ŋ ɡ ú r ù
238	Mombo	tɔ́ndɔ́lɔ́	bell (e.g. for cow)	t ɔ́ n d ɔ́ l ɔ́
#
239	Ben_Tey	pìré	belly	p ì r é
240	Bankan_Tey	pìré	belly	p ì r é
241	Nanga	bèndé	belly	b è n d é
242	Jamsay	bɛ̀rɛ́	belly	b ɛ̀ r ɛ́
243	Perge_Tegu	bɛ̀rɛ́	belly	b ɛ̀ r ɛ́
244	Gourou	bɛ̀rɛ́	belly	b ɛ̀ r ɛ́
245	Yorno_So	bɛ̀rɛ́	belly	b ɛ̀ r ɛ́
246	Tomo_Kan_Diangassagou	bìndì	belly	b ì n d ì
247	Tommo_So	bɛ̀rɛ́	belly	b ɛ̀ r ɛ́
248	Dogul_Dom	bɛ̀rɔ́	belly	b ɛ̀ r ɔ́
249	Tebul_Ure	bèrǎ:	belly	b è r ǎː
250	Yanda_Dom	bɛ̀dɛ̀	belly	b ɛ̀ d ɛ̀
251	Tiranige	pìndì	belly	p ì n d ì
252	Mombo	píjí	belly	p í dʒ í
253	Bunoge	dólè	belly	d ó l è
#
254	Toro_Tegu	kàrúm	bit (mouthpiece for horse etc.)	k à r ú m
255	Ben_Tey	kàrmbú	bit (mouthpiece for horse etc.)	k à r m b ú
256	Bankan_Tey	kàràmbú	bit (mouthpiece for horse etc.)	k à r à m b ú
257	Nanga	kàrmbí	bit (mouthpiece for horse etc.)	k à r m b í
258	Jamsay	kàrúm	bit (mouthpiece for horse etc.)	k à r ú m
259	Perge_Tegu	kàrǔm	bit (mouthpiece for horse etc.)	k à r ǔ m
260	Gourou	kàrúm	bit (mouthpiece for horse etc.)	k à r ú m
261	Togo_Kan	kàyⁿɛ́	bit (mouthpiece for horse etc.)	k à dʒⁿ ɛ́
262	Yorno_So	kàlmú	bit (mouthpiece for horse etc.)	k à l m ú
263	Tomo_Kan_Diangassagou	kàlàwⁿ	bit (mouthpiece for horse etc.)	k à l à w̃
264	Tommo_So	kàlàmbú	bit (mouthpiece for horse etc.)	k à l à m b ú
265	Tebul_Ure	kɛ̀rɛ̀mbú	bit (mouthpiece for horse etc.)	k ɛ̀ r ɛ̀ m b ú
266	Yanda_Dom	kàlàmbú	bit (mouthpiece for horse etc.)	k à l à m b ú
267	Mombo	kàlàbú	bit (mouthpiece for horse etc.)	k à l à b ú
268	Bunoge	làbàŋgá	bit (mouthpiece for horse etc.)	l à b à ŋ ɡ á
#
269	Toro_Tegu	jɛ́m	black, dark	dʒ ɛ́ m
270	Bankan_Tey	jɛ̀mɛ̂yⁿ	black, dark	dʒ ɛ̀ m ɛ̂ dʒⁿ
271	Nanga	jɛ́mí	black, dark	dʒ ɛ́ m í
272	Jamsay	jɛ́m	black, dark	dʒ ɛ́ m
273	Perge_Tegu	jém	black, dark	dʒ é m
274	Gourou	gɛ́m	black, dark	ɡ ɛ́ m
275	Jamsay_Mondoro	jɛ́m	black, dark	dʒ ɛ́ m
276	Togo_Kan	gɛ́ⁿ	black, dark	ɡ ɛ̃́
277	Yorno_So	gɛ́m	black, dark	ɡ ɛ́ m
278	Tommo_So	gɛ́m	black, dark	ɡ ɛ́ m
279	Dogul_Dom	gɛ́mɛ̀ŋ	black, dark	ɡ ɛ́ m ɛ̀ ŋ
280	Yanda_Dom	jèmɛ́	black, dark	dʒ è m ɛ́
281	Tiranige	jɛ́mɛ́	black, dark	dʒ ɛ́ m ɛ́
282	Mombo	wɛ́rɛ́dɛ́	black, dark	w ɛ́ r ɛ́ d ɛ́
283	Bunoge	yɔ̀:lɛ̀	black, dark	dʒ ɔ̀ː l ɛ̀
#
284	Toro_Tegu	pí:lòm	bladder	p íː l ò m
285	Ben_Tey	ɔ̀mjù dérí	bladder	ɔ̀ m dʒ ù # d é r í
286	Bankan_Tey	ɔ̀zɔ̀tǒỳ	bladder	ɔ̀ z ɔ̀ t ǒ dʒ̀
287	Nanga	ònjètúsá	bladder	ò n dʒ è t ú s á
288	Jamsay	pí:lòm	bladder	p íː l ò m
289	Perge_Tegu	pí:lòm	bladder	p íː l ò m
290	Togo_Kan	ìⁿsìrⁿìjógó	bladder	ĩ̀ s ì r̃ ì dʒ ó ɡ ó
291	Yorno_So	ìsàndǒm	bladder	ì s à n d ǒ m
292	Tomo_Kan_Diangassagou	ʔùnjùrùsúⁿ	bladder	ʔ ù n dʒ ù r ù s ṹ
293	Tommo_So	ǹjàrìì bǔy	bladder	ǹ dʒ à r ì ì # b ǔ dʒ
294	Dogul_Dom	ɲjátòŋ	bladder	ɲ dʒ á t ò ŋ
295	Tebul_Ure	èndìlèɔ́gùbɔ̀	bladder	è n d ì l è ɔ́ ɡ ù b ɔ̀
296	Yanda_Dom	òmzùtél	bladder	ò m z ù t é l
297	Tiranige	tòjì	bladder	t ò dʒ ì
#
298	Toro_Tegu	zòrú	blister (on skin)	z ò r ú
299	Ben_Tey	jòrî:	blister (on skin)	dʒ ò r îː
300	Bankan_Tey	ìrɛ̌y	blister (on skin)	ì r ɛ̌ dʒ
301	Nanga	jórô	blister (on skin)	dʒ ó r ô
302	Jamsay	jòrú	blister (on skin)	dʒ ò r ú
303	Perge_Tegu	jórò	blister (on skin)	dʒ ó r ò
304	Jamsay_Mondoro	jòrú	blister (on skin)	dʒ ò r ú
305	Togo_Kan	jòrú	blister (on skin)	dʒ ò r ú
306	Yorno_So	jòrú	blister (on skin)	dʒ ò r ú
307	Tommo_So	ùmmùgò jógó	blister (on skin)	ù m m ù ɡ ò # dʒ ó ɡ ó
308	Dogul_Dom	nùmɔ̀ kérú	blister (on skin)	n ù m ɔ̀ # k é r ú
309	Tebul_Ure	zòrú	blister (on skin)	z ò r ú
310	Yanda_Dom	zòrù	blister (on skin)	z ò r ù
311	Mombo	bɔ́nɔ́nɔ̀	blister (on skin)	b ɔ́ n ɔ́ n ɔ̀
#
312	Toro_Tegu	néŋ	blood	n é ŋ
313	Ben_Tey	gòŋgòró	blood	ɡ ò ŋ ɡ ò r ó
314	Bankan_Tey	gòŋgòró	blood	ɡ ò ŋ ɡ ò r ó
315	Nanga	gòndùgó	blood	ɡ ò n d ù ɡ ó
316	Jamsay	nɛ̂yⁿ	blood	n ɛ̂ dʒⁿ
317	Perge_Tegu	nɛ̂m	blood	n ɛ̂ m
318	Gourou	nɛ̂yⁿ	blood	n ɛ̂ dʒⁿ
319	Jamsay_Mondoro	nɛ̂yⁿ	blood	n ɛ̂ dʒⁿ
320	Togo_Kan	nɛ́	blood	n ɛ́
321	Yorno_So	ìllî:	blood	ì l l îː
322	Tomo_Kan_Diangassagou	ɲí:	blood	ɲ íː
323	Tommo_So	ìlìyé	blood	ì l ì dʒ é
324	Dogul_Dom	gìŋɛ̀nɛ́	blood	ɡ ì ŋ ɛ̀ n ɛ́
325	Tebul_Ure	jènjé	blood	dʒ è n dʒ é
326	Yanda_Dom	jènjù	blood	dʒ è n dʒ ù
327	Tiranige	jé:ŋgé	blood	dʒ éː ŋ ɡ é
328	Mombo	gè:ŋgé	blood	ɡ èː ŋ ɡ é
329	Bunoge	bàbà	blood	b à b à
#
330	Toro_Tegu	dùnú	blunt, not sharp (blade)	d ù n ú
331	Ben_Tey	dùmbú	blunt, not sharp (blade)	d ù m b ú
332	Bankan_Tey	dùmbú	blunt, not sharp (blade)	d ù m b ú
333	Nanga	dùmbí	blunt, not sharp (blade)	d ù m b í
