# SLV
ID	Taxon	Gloss	GlossID	IPA	Tokens	CogID
173	Russian	i	42	ja	j a	66
174	Polish	i	42	ja	j a	66
175	Bulgarian	i	42	as	a s	66
176	Czech	i	42	jaː	j aː	66
# 
177	Russian	kill (V)	43	ubʲitʲ	u bʲ i tʲ	67
178	Polish	kill (V)	43	zabijaʨ	z a b i j a ʨ	67
179	Bulgarian	kill (V)	43	ubivəm	u b i v ə m	67
180	Czech	kill (V)	43	zabiːjɛt	z a b iː j ɛ t	67
# 
181	Russian	knee	44	kɐlʲenə	k ɐ lʲ e n ə	68
182	Polish	knee	44	kɔlanɔ	k ɔ l a n ɔ	68
183	Bulgarian	knee	44	kolʲano	k o lʲ a n o	68
184	Czech	knee	44	kolɛno	k o l ɛ n o	68
# 
185	Russian	know (V)	45	znatʲ	z n a tʲ	70
186	Polish	know (V)	45	znaʨ	z n a ʨ	70
187	Bulgarian	know (V)	45	znajə	z n a j ə	70
188	Czech	know (V)	45	znaːt	z n aː t	70
189	Polish	know (V)	45	vʲɛʥɛʨ	vʲ ɛ ʥ ɛ ʨ	69
190	Czech	know (V)	45	vʲɛdʲɛt	vʲ ɛ dʲ ɛ t	69
# 
191	Russian	leaf	46	lʲist	lʲ i s t	71
192	Polish	leaf	46	liɕʨ	l i ɕ ʨ	71
193	Bulgarian	leaf	46	list	l i s t	71
194	Czech	leaf	46	lɪst	l ɪ s t	71
# 
195	Russian	lie 1 (V)	47	lʲɪʒatʲ	lʲ ɪ ʒ a tʲ	72
196	Polish	lie 1 (V)	47	lɛʒɛʨ	l ɛ ʒ ɛ ʨ	72
197	Bulgarian	lie 1 (V)	47	lɛʒə	l ɛ ʒ ə	72
198	Czech	lie 1 (V)	47	lɛʒɛt	l ɛ ʒ ɛ t	72
# 
199	Russian	liver	48	pʲeʧʲɪnʲ	pʲ e ʧʲ ɪ nʲ	76
200	Polish	liver	48	vɔ̃trɔba	v ɔ̃ t r ɔ b a	74
201	Bulgarian	liver	48	drop	d r o p	75
202	Czech	liver	48	jaːtra	j aː t r a	73
# 
203	Russian	long	49	dlʲinnɨj	d lʲ i nː ɨ j	77
204	Polish	long	49	dwuɡi	d w u ɡ i	77
205	Bulgarian	long	49	dɤlək	d ɤ l ə k	77
206	Czech	long	49	dlowɦiː	d l o w ɦ iː	77
# 
207	Russian	louse	50	voʃ	v o ʃ	78
208	Polish	louse	50	vɛʃ	v ɛ ʃ	78
209	Bulgarian	louse	50	vɤʃkə	v ɤ ʃ k ə	78
210	Czech	louse	50	vɛʃ	v ɛ ʃ	78
# 
211	Russian	man	51	muʃʃinə	m u ʃː i n ə	79
212	Polish	man	51	mɛ̃ʃʧɨzna	m ɛ̃ ʃ ʧ ɨ z n a	79
213	Bulgarian	man	51	mɤʃ	m ɤ ʃ	79
214	Czech	man	51	mʊʃ	m ʊ ʃ	79
# 
215	Russian	many	52	mnoɡə	m n o ɡ ə	80
216	Polish	many	52	vʲɛlɛ	vʲ ɛ l ɛ	81
217	Bulgarian	many	52	mnɔgo	m n ɔ g o	80
218	Czech	many	52	mnoɦo	m n o ɦ o	80
219	Polish	many	52	duʒɔ	d u ʒ ɔ	82
# 
220	Russian	meat	53	mʲasə	mʲ a s ə	83
221	Polish	meat	53	mʲɛ̃sɔ	mʲ ɛ̃ s ɔ	83
222	Bulgarian	meat	53	mɛsɔ	m ɛ s ɔ	83
223	Czech	meat	53	maso	m a s o	83
# 
224	Russian	moon	54	luna	l u n a	85
225	Polish	moon	54	kɕɛ̃ʒɨʦ	k ɕ ɛ̃ ʒ ɨ ʦ	-84
226	Bulgarian	moon	54	luna	l u n a	85
227	Czech	moon	54	mʲɛsiːʦ	mʲ ɛ s iː ʦ	86
# 
228	Russian	mountain	55	ɡɐra	ɡ ɐ r a	87
229	Polish	mountain	55	ɡura	ɡ u r a	87
230	Bulgarian	mountain	55	plənina	p l ə n i n a	89
231	Czech	mountain	55	ɦora	ɦ o r a	87
232	Czech	mountain	55	vr̩x	v r̩ x	88
# 
233	Russian	mouth	56	rot	r o t	90
234	Polish	mouth	56	usta	u s t a	91
235	Bulgarian	mouth	56	usta	u s t a	91
236	Czech	mouth	56	uːsta	uː s t a	91
# 
237	Russian	name	57	imʲə	i mʲ ə	92
238	Polish	name	57	imʲɛ̃	i mʲ ɛ̃	92
239	Bulgarian	name	57	imɛ	i m ɛ	92
240	Czech	name	57	jmɛːno	j m ɛː n o	92
# 
241	Russian	neck	58	ʃejə	ʃ e j ə	94
242	Polish	neck	58	ʃɨja	ʃ ɨ j a	94
243	Bulgarian	neck	58	ʃijə	ʃ i j ə	94
244	Czech	neck	58	kr̩k	k r̩ k	93
245	Bulgarian	neck	58	vrat	v r a t	95
# 
246	Russian	new	59	novɨj	n o v ɨ j	96
247	Polish	new	59	nɔvɨ	n ɔ v ɨ	96
248	Bulgarian	new	59	nɔf	n ɔ f	96
249	Czech	new	59	noviː	n o v iː	96
# 
250	Russian	night	60	noʧ	n o ʧ	97
251	Polish	night	60	nɔʦ	n ɔ ʦ	97
252	Bulgarian	night	60	nɔʃt	n ɔ ʃ t	97
253	Czech	night	60	noʦ	n o ʦ	97
# 
254	Russian	nose	61	nos	n o s	98
255	Polish	nose	61	nɔs	n ɔ s	98
256	Bulgarian	nose	61	nɔs	n ɔ s	98
257	Czech	nose	61	nos	n o s	98
# 
258	Russian	not	62	nʲɛ	nʲ ɛ	99
259	Polish	not	62	nʲɛ	nʲ ɛ	99
260	Bulgarian	not	62	nɛ	n ɛ	99
261	Czech	not	62	nɛ	n ɛ	99
# 
262	Russian	one	63	ɐdʲin	ɐ dʲ i n	100
263	Polish	one	63	jɛdɛn	j ɛ d ɛ n	100
264	Bulgarian	one	63	ɛdnɔ	ɛ d n ɔ	100
265	Czech	one	63	jɛdɛn	j ɛ d ɛ n	100
# 
266	Russian	person	64	ʧʲɪlɐvʲɛk	ʧʲ ɪ l ɐ vʲ ɛ k	101
267	Polish	person	64	ʧwɔvʲɛk	ʧ w ɔ vʲ ɛ k	101
268	Bulgarian	person	64	ʧovɛk	ʧ o v ɛ k	101
269	Czech	person	64	ʧlovʲɛk	ʧ l o vʲ ɛ k	101
# 
270	Russian	rain (V)	65	doʃtʲ	d o ʃ tʲ	102
271	Polish	rain (V)	65	dɛʃʧ	d ɛ ʃ ʧ	102
272	Bulgarian	rain (V)	65	dɤʃt	d ɤ ʃ t	102
273	Czech	rain (V)	65	dɛːʃtʲ	d ɛː ʃ tʲ	102
# 
274	Russian	red	66	krasnɨj	k r a s n ɨ j	104
275	Polish	red	66	ʧɛrvɔnɨ	ʧ ɛ r v ɔ n ɨ	103
276	Bulgarian	red	66	ʧɛrvɛn	ʧ ɛ r v ɛ n	103
277	Czech	red	66	ʧɛrvɛniː	ʧ ɛ r v ɛ n iː	103
# 
278	Russian	road	67	dɐroɡə	d ɐ r o ɡ ə	107
279	Polish	road	67	drɔɡa	d r ɔ ɡ a	107
280	Bulgarian	road	67	pɤt	p ɤ t	106
281	Czech	road	67	ʦɛsta	ʦ ɛ s t a	105
# 
282	Russian	root	68	korʲɪnʲ	k o rʲ ɪ nʲ	108
283	Polish	root	68	kɔʒɛɲ	k ɔ ʒ ɛ ɲ	108
284	Bulgarian	root	68	kɔrɛn	k ɔ r ɛ n	108
285	Czech	root	68	korɛn	k o r ɛ n	108
# 
286	Russian	round	69	kruɡlɨj	k r u ɡ l ɨ j	109
287	Polish	round	69	ɔkrɔ̃ɡwɨ	ɔ k r ɔ̃ ɡ w ɨ	109
288	Bulgarian	round	69	krɤgəl	k r ɤ g ə l	109
289	Czech	round	69	okrowɦliː	o k r o w ɦ l iː	109
# 
290	Russian	sand	70	pʲɪsok	pʲ ɪ s o k	110
291	Polish	sand	70	pʲasɛk	pʲ a s ɛ k	110
292	Bulgarian	sand	70	pʲasək	pʲ a s ə k	110
293	Czech	sand	70	piːsɛk	p iː s ɛ k	110
# 
294	Russian	say (V)	71	skɐzatʲ	s k ɐ z a tʲ	113
295	Polish	say (V)	71	pɔvʲɛʥɛʨ	p ɔ vʲ ɛ ʥ ɛ ʨ	112
296	Bulgarian	say (V)	71	kaʒə	k a ʒ ə	113
297	Czech	say (V)	71	riːkat	r iː k a t	111
# 
298	Russian	see (V)	72	vʲidʲɪtʲ	vʲ i dʲ ɪ tʲ	114
299	Polish	see (V)	72	viʥɛʨ	v i ʥ ɛ ʨ	114
300	Bulgarian	see (V)	72	viʒdəm	v i ʒ d ə m	114
301	Czech	see (V)	72	vɪdʲɛt	v ɪ dʲ ɛ t	114
# 
302	Russian	seed	73	sʲemʲə	sʲ e mʲ ə	115
303	Polish	seed	73	ɕɛmʲɛ̃	ɕ ɛ mʲ ɛ̃	115
304	Bulgarian	seed	73	sɛmɛ	s ɛ m ɛ	115
305	Czech	seed	73	sɛmɛno	s ɛ m ɛ n o	115
# 
306	Russian	sit (V)	74	sʲɪdʲetʲ	sʲ ɪ dʲ e tʲ	116
307	Polish	sit (V)	74	ɕɛʥɛʨ	ɕ ɛ ʥ ɛ ʨ	116
308	Bulgarian	sit (V)	74	sɛdʲɤ	s ɛ dʲ ɤ	116
309	Czech	sit (V)	74	sɛdʲɛt	s ɛ dʲ ɛ t	116
# 
310	Russian	skin	75	koʒə	k o ʒ ə	117
311	Polish	skin	75	skura	s k u r a	118
312	Bulgarian	skin	75	kɔʒə	k ɔ ʒ ə	117
313	Czech	skin	75	kuːʒɛ	k uː ʒ ɛ	117
# 
314	Russian	sleep (V)	76	spatʲ	s p a tʲ	119
315	Polish	sleep (V)	76	spaʨ	s p a ʨ	119
316	Bulgarian	sleep (V)	76	spa	s p a	119
317	Czech	sleep (V)	76	spaːt	s p aː t	119
# 
318	Russian	small	77	malʲɪnʲkʲɪj	m a lʲ ɪ nʲ kʲ ɪ j	120
319	Polish	small	77	mawɨ	m a w ɨ	120
320	Bulgarian	small	77	malək	m a l ə k	120
321	Czech	small	77	maliː	m a l iː	120
# 
322	Russian	smoke	78	dɨm	d ɨ m	121
323	Polish	smoke	78	dɨm	d ɨ m	121
324	Bulgarian	smoke	78	dim	d i m	121
325	Czech	smoke	78	diːm	d iː m	121
# 
326	Russian	stand (V)	79	stɐjatʲ	s t ɐ j a tʲ	122
327	Polish	stand (V)	79	staʨ	s t a ʨ	122
328	Bulgarian	stand (V)	79	stɔjə	s t ɔ j ə	122
329	Czech	stand (V)	79	staːt	s t aː t	122
# 
330	Russian	star	80	zvʲɪzda	z vʲ ɪ z d a	123
331	Polish	star	80	ɡvʲazda	ɡ vʲ a z d a	123
332	Bulgarian	star	80	zvɛzda	z v ɛ z d a	123
333	Czech	star	80	ɦvʲɛzda	ɦ vʲ ɛ z d a	123
# 
334	Russian	stone	81	kamʲɪnʲ	k a mʲ ɪ nʲ	124
335	Polish	stone	81	kamʲɛɲ	k a mʲ ɛ ɲ	124
336	Bulgarian	stone	81	kamək	k a m ə k	124
337	Czech	stone	81	kaːmɛn	k aː m ɛ n	124
# 
338	Russian	sun	82	sonʦə	s o n ʦ ə	125
339	Polish	sun	82	swɔnʲʦɛ	s w ɔ nʲ ʦ ɛ	125
340	Bulgarian	sun	82	slɤnʦɛ	s l ɤ n ʦ ɛ	125
341	Czech	sun	82	slʊnʦɛ	s l ʊ n ʦ ɛ	125
# 
342	Russian	swim (V)	83	plɨtʲ	p l ɨ tʲ	126
343	Polish	swim (V)	83	pwɨvaʨ	p w ɨ v a ʨ	126
344	Bulgarian	swim (V)	83	pluvəm	p l u v ə m	126
345	Czech	swim (V)	83	plavat	p l a v a t	126
# 
346	Russian	tail	84	xvost	x v o s t	127
347	Polish	tail	84	ɔɡɔn	ɔ ɡ ɔ n	129
348	Bulgarian	tail	84	opaʃkə	o p a ʃ k ə	128
349	Czech	tail	84	oʦas	o ʦ a s	130
# 
350	Russian	that	85	to	t o	132
351	Polish	that	85	tamtɔ	t a m t ɔ	132
352	Bulgarian	that	85	ɔnzi	ɔ n z i	131
353	Czech	that	85	tamto	t a m t o	132
# 
354	Russian	this	86	ɛtə	ɛ t ə	133
355	Polish	this	86	tɔ	t ɔ	133
356	Bulgarian	this	86	tɔzi	t ɔ z i	133
357	Czech	this	86	toto	t o t o	133
# 
358	Russian	thou	87	tɨ	t ɨ	134
359	Polish	thou	87	tɨ	t ɨ	134
360	Bulgarian	thou	87	ti	t i	134
361	Czech	thou	87	tɪ	t ɪ	134
# 
362	Russian	tongue	88	jɪzɨk	j ɪ z ɨ k	135
363	Polish	tongue	88	jɛ̃zɨk	j ɛ̃ z ɨ k	135
364	Bulgarian	tongue	88	ɛzik	ɛ z i k	135
365	Czech	tongue	88	jazɪk	j a z ɪ k	135
# 
366	Russian	tooth	89	zup	z u p	136
367	Polish	tooth	89	zɔ̃p	z ɔ̃ p	136
368	Bulgarian	tooth	89	zɤp	z ɤ p	136
369	Czech	tooth	89	zʊp	z ʊ p	136
# 
370	Russian	tree	90	dʲerʲɪvə	dʲ e rʲ ɪ v ə	138
371	Polish	tree	90	dʒɛvɔ	d ʒ ɛ v ɔ	138
372	Bulgarian	tree	90	dərvɔ	d ə r v ɔ	138
373	Czech	tree	90	strom	s t r o m	137
# 
374	Russian	two	91	dva	d v a	139
375	Polish	two	91	dva	d v a	139
376	Bulgarian	two	91	dva	d v a	139
377	Czech	two	91	dva	d v a	139
# 
378	Russian	walk (V)	92	ɪtʲi	ɪ tʲ i	140
379	Polish	walk (V)	92	iɕʨ	i ɕ ʨ	140
380	Bulgarian	walk (V)	92	vɛrvʲə	v ɛ r vʲ ə	141
381	Czech	walk (V)	92	jiːt	j iː t	140
# 
382	Russian	warm	93	tʲoplɨj	tʲ o p l ɨ j	142
383	Polish	warm	93	ʨɛpwɨ	ʨ ɛ p w ɨ	142
384	Bulgarian	warm	93	tɔpəl	t ɔ p ə l	142
385	Czech	warm	93	tɛpliː	t ɛ p l iː	142
# 
386	Russian	water	94	vɐda	v ɐ d a	143
387	Polish	water	94	vɔda	v ɔ d a	143
388	Bulgarian	water	94	voda	v o d a	143
389	Czech	water	94	voda	v o d a	143
# 
390	Russian	we	95	mɨ	m ɨ	144
391	Polish	we	95	mɨ	m ɨ	144
392	Bulgarian	we	95	niɛ	n iɛ	145
393	Czech	we	95	mɪ	m ɪ	144
# 
394	Russian	what	96	ʃto	ʃ t o	146
395	Polish	what	96	ʦɔ	ʦ ɔ	146
396	Bulgarian	what	96	kakvɔ	k a k v ɔ	146
397	Czech	what	96	ʦo	ʦ o	146
# 
398	Russian	white	97	bʲelɨj	bʲ e l ɨ j	147
399	Polish	white	97	bʲawɨ	bʲ a w ɨ	147
400	Bulgarian	white	97	bal	b a l	147
401	Czech	white	97	biːliː	b iː l iː	147
# 
402	Russian	who	98	kto	k t o	148
403	Polish	who	98	ktɔ	k t ɔ	148
404	Bulgarian	who	98	koj	k o j	148
405	Czech	who	98	ɡdo	ɡ d o	148
# 
406	Russian	woman	99	ʒɛnʃʃʲɪnə	ʒ ɛ n ʃːʲ ɪ n ə	149
407	Polish	woman	99	kɔbʲɛta	k ɔ bʲ ɛ t a	150
408	Bulgarian	woman	99	ʒɛna	ʒ ɛ n a	149
409	Czech	woman	99	ʒɛna	ʒ ɛ n a	149
# 
410	Russian	yellow	100	ʒoltɨj	ʒ o l t ɨ j	151
411	Polish	yellow	100	ʒuwtɨ	ʒ u w t ɨ	151
412	Bulgarian	yellow	100	ʒɤlt	ʒ ɤ l t	151
413	Czech	yellow	100	ʒlʊtiː	ʒ l ʊ t iː	151
# 
414	Russian	far	101	dɐlʲokʲɪj	d ɐ lʲ o kʲ ɪ j	152
415	Polish	far	101	dalɛki	d a l ɛ k i	152
416	Bulgarian	far	101	dəlɛʧɛn	d ə l ɛ ʧ ɛ n	152
417	Czech	far	101	dalɛkiː	d a l ɛ k iː	152
# 
418	Russian	heavy	102	tʲɪʒolɨj	tʲ ɪ ʒ o l ɨ j	153
419	Polish	heavy	102	ʨɛ̃ʃki	ʨ ɛ̃ ʃ k i	153
420	Bulgarian	heavy	102	tɛʒək	t ɛ ʒ ə k	153
421	Czech	heavy	102	tʲɛʃkiː	tʲ ɛ ʃ k iː	153
# 
422	Russian	near	103	blʲizkʲɪj	b lʲ i z kʲ ɪ j	154
423	Polish	near	103	bliskɨ	b l i s k ɨ	154
424	Bulgarian	near	103	blizək	b l i z ə k	154
425	Czech	near	103	bliːskiː	b l iː s k iː	154
# 
426	Russian	salt	104	solʲ	s o lʲ	155
427	Polish	salt	104	sul	s u l	155
428	Bulgarian	salt	104	sol	s o l	155
