code (Eng)	subcode (Eng)	code (fr)	sous-code (fr)	code #	subcode #	subsubcode #	short	court	ref#	date	comment	Leipzig-Jakarta	Swadesh (AH)	English	français	NAME Toro Tegu	NAME Bangime	NAME Sangha So	NAME Ben Tey	NAME Bankan-Tey	NAME Nanga	Jamsay (alphabet)	NAME Jamsay Douentza	NAME Perge Tegu	NAME Gourou	NAME Jamsay Mondoro	NAME Togo-Kan	NAME Yorno-So	NAME Tomo Kan Segue	NAME Tomo Kan Diangassagou	NAME Tommo-So	NAME Dogul Dom	 NAME Tebul Ure	NAME Yanda Dom	NAME Najamba	NAME Tiranige	NAME Mombo	NAME Ampari	NAME Bunoge	NAME Penange
person	child	personne	enfant	6	4	1	child	enfant	00154	old	basic	child (enfant)	child	child	enfant	ì-rⁿú\\ì-mú ~ ǐ-m, ì-rⁿ-í:\\ì-m-í:	bìjɛ́, jàámbɛ̀	àjní \\ àrⁿù úrⁿúŋ \\ úrⁿú	yí-m\\yìtɛ᷈:	yí-m\\yì:tɛ̂:	yî:\\yì-tɛ̀gɛ̂	in	î-n\\úrⁿ-ùm	î:ⁿ\\ímbè-m	î-n\\ùr-ûm	î-n\\úrⁿ-ùm	í:ⁿ\\úrⁿí:	î:	ʔìrⁿú\\ʔìrⁿú wé ~ ʔíwⁿ	ʔì:ⁿ\\ʔùnù wé	íí \\ úlùm	égù, éég, ég	ɛ̀dɛ́\\úlé:	ènè\\èné (DefSg èné gɛ̀)	èndê:\\òndô:	bé:\\bé-gé	wê:	bé: (bé: gè)	bé (bê: nɔ̀)	wè:
person	man	personne	homme	6	7	1	man	homme	00167	old	basic		man, male person	man, male person	homme, personne mâle	à-nú\\àrǎ-m	ɡʷɔ̀ⁿ	àjnɛ́	árⁿà-m\\árⁿà	árⁿà-m\\árⁿà	árⁿâ	an	ǎ-n\\àrⁿ-úm	ànú\\ànú-m	ǎ-n\\àn-úm	ǎ-n\\àrⁿ-úm	àrⁿá	áy-nɛ́\\árⁿú-m	ʔà:wⁿ (X ʔá:wⁿ)	ʔà:ⁿ\\ʔà:ⁿ wé	àn-ná	ánà, nòò ánà	árⁿá\\árⁿá-mbɔ̀	án\\án-mù	ánè\\ánà:, ánì\\ánà:	ndà-báná\\-báná-gé ('man'), bànà\\bànà-gè ('man'), báná ('male', as adj)	wálá	ìndá nàrà, nàrá (nàrá gè)	nólò	wálá
person	woman	personne	femme	6	8	1	woman	femme	00169	old	basic		woman, female person	woman, female person	femme, personne femelle	yⁿà-rⁿú\\yⁿà-mú, yⁿà-rⁿú\\yⁿǎ-m	ɲìjɛ̀rɛ́	jààrⁿá	yǎ-m\\yǎ:	yǎ-m\\yǎ:	yǎ-ŋ\\yǎ:	ɲɛn	ɲɛ̌-n\\ɲɛ̌-m	ɲà-rⁿú\\ɲǎ-m	ɲɛ̌-n\\ɲɛ̌-m	ɲɛ̌-n\\ɲɛ̌-m	ɲɛ̌	yǎ:-rⁿá\\yǎ:-m	ɲɔ̀wⁿ (X ɲɔ́wⁿ)	ɲò-wⁿ (X ɲó:)	yàà-ná	yáá, nòò yáá	yǎ\\yà-mbɔ́	yɛ̀\\yɛ̀-mù (DefSg yɛ́ gɛ̀)	yɛ̌:\\yàwó:	ndà-yé:\\-yé:-gé, yé:\\yé:-gé	yɔ̂:	ìndá yɔ̀:, yɔ̌: (yɔ̌: gè)	yɔ́ (yɔ̂: nɔ̀)	yɔ̀:
age	old	âge	vieux	7	1	7	old	vieux	00181	old		old	old (thing, animal)	old (thing, animal)	vieux (objet, animal)	yɔ̌:, wá:gú	(kíì) ʃíjéndɛ \\ kááw̃á	pěj	pɛ̌:	pɛ̌:	pɛ̌:	pɛyⁿ	pɛ̌yⁿ	pɛ̌y	kó:ró, pɛ́yⁿ	pɛ̌yⁿ	pɛ̌ⁿ	pɛ̌y	pyɛ̀ⁿ	pyɛ̀ⁿ	pɛ̌y	dìyɔ́	pɛ̀y-gɔ́\\pɛ̌: (inan), pɛ̌:\\pɛ̀:-mbɔ́ (animal)	pɛ̀y\\-mù	kúnjɔ́:\\kúnjɛ́:	kúnjú	ká:nú		ʔìlɛ̀	ká:mnɔ́
age	new	âge	nouveau	7	5	1	new	nouveau	00196	old	basic	new	new	new	nouveau	kàlá	(kíì) káráá	kàná	kálà	kándà	kándà	kana	kàná	kàlá	kàná	kàná	kàná	kàná	kàndà	kàndà	kàndá	kásá	kàndá	kàndà\\-mù	kàndǎ:\\kàndɛ̌:	kándá	kándá	kà:ndà (kà:ndà gé)	kàndà	kàndà
life/death	death	vie/mort	mort	9	1	1	die	mourir	00238	old	basic		die	die	mourir	núm\\núwⁿó	ʒáá	jíwⁿɛ́	tíwɛ́	tíwɛ́	túwɛ́ ~ tíwɛ́	nuwⁿo	núwⁿó	núwⁿó	núwⁿó	núwⁿó	nú:	yíwⁿɛ́-\\yím	nùmí	nùmí	yímɛ́	tìbɛ́	tíbá (tíbà-ywà)	tíbɛ́\\tíbá-lì	tíbɛ́	tíwɔ́	máré // dwɛ́:	dɔ̂: (dɔ̯ɛ́, dɔ̯ɛ́:-rí	dɔ́:wɛ̀	dɔ́gɛ́ (animal), ŋkíndɛ̀ (human)
life/death	kill	vie/mort	tuer	9	2	1	kill	tuer	00251	old	basic		kill	kill	tuer	wɔ̌w\\wɔ̌:	ɥúúrá	dǎj \\ dáá	jìyɛ́	jɛ́\\jâ	jìyɛ́, gìyɛ́	wɔ	wɔ̌:	wɔ̌:	wɔ̌:	wɔ̌:	dàrⁿá	dǎ:-\\dǎy	dɛ̀lɛ̀	dɛ̀lɛ̀	dàá	gɛ̀wɛ́, sɛ̀mɛ́	jɛ̌\\jà-lí (jɛ́-tì-, jɛ̀-sɔ́-)	jɛ́\\jà-lí-	jìyɛ́, gìyɛ́	jɛ́yɔ́	gyɛ́:	gíyɔ̀ (gìyɛ̀, gìyɛ́-rì)	gɛ́:wɛ̀ (imperative gèwà)	gíyɛ́
life/death	life	vie/mort	vie	9	18	3	alive, living	vivant	00301	old			living, alive	living, alive	vivant	yⁿéyⁿ, bǎyⁿ dà ŋ́	bór̃ɔ̀	ìnɛ̀ ɔ́wⁿɔ́ \\ ìnɛ̀ kírⁿú lé yàrá \\ kírⁿú lé sɛ́ɛ́wù ìyárá	úwⁿɔ́-m\\úwⁿɔ́	úmá-m\\úmá	úmá	ɲeyⁿ	ɲéyⁿ	ɲém-nú\\-nú-m			ɲɛ́ɲɛ́rⁿɛ́	ɔ́:ⁿ			kínú le yɔ̂	ʔḿò	ɔ́mɔ̀:\\ɔ́mɔ̀-mbɔ̀		kìnjàn-gɛ́:\\kìnjàn-gá:		málá			málá ("seeing")
body	body substance	corps	substance corporelle	10	2	1	skin	peau	00309	old	basic	skin/hide	skin	skin	peau	gùsú	kíŋɡèɛ̀	gùðú	gùsú	gùsú	gùsí	guju	gùjú	gùsú	gùsú	gùjú	gùjú	gùjú	jè:-gù (human), gù	gù:	gùdú	gúzúgú	gùdùgó	gùzù	gùjú\\gùjé	gwí:	gújù	gùjú (gùjú gè)	gwí (gwî: nɔ̀)	gùjù
body	body substance	corps	substance corporelle	10	2	5	blood	sang	00313	old	basic	blood	blood	blood	sang	néŋ	ʒíì	ìlí	gòŋgòró	gòŋgòró	gòndùgó	nɛyⁿ	nɛ̂yⁿ	nɛ̂m	nɛ̂yⁿ	nɛ̂yⁿ	nɛ́	ìllî:	ɲí:	ní:	ìlìyé	gìŋɛ̀nɛ́	jènjé	jènjù	gěn-gé\\gěn	jé:ŋgé	gè:ŋgé	àgà (àgà gé)	bàbà	bàgà
body	torso	corps	torse	10	4	1	belly	ventre	00318	old	basic		belly	belly	ventre	bèté, pùró	kǒrɛ̀é	bɛ̀rɛ́	pìré	pìré	bèndé	bɛrɛ	bɛ̀rɛ́	bɛ̀rɛ́	bɛ̀rɛ́		bǐn, bìní	bɛ̀rɛ́	bìndì	bìnì	bɛ̀rɛ́	bɛ̀rɔ́	bèrǎ:	bɛ̀dɛ̀	kûl\\kûl	pìndì	píjí	kwé: (kwé: gè)	dólè	jàŋgà
body	torso	corps	torse	10	4	3	navel	nombril	00320	old		navel		navel	nombril	kórú	bóŋɡɔ́-rò, bɔ́ŋwíɛ̀	bɔ̀gíí	bɔ̀ŋgɔ́	kón	bɔ̀ŋgɔ́	kon	kón	bɔ̀ŋgɔ́	kón	kón	bɔ̀gú	bɔ̀gì-ý	kù:-kwɛ̀ʔɛ̀ⁿ	bɔ̀gí:ⁿ	bɔ̀ŋgɔ̀-ý	bɔ́ŋgɔ̀	bɔ̀ŋgɔ́	bɔ̀ŋɔ̀	bɔ́ŋgɔ̀:\\bɔ́ŋgɛ̀:	bɔ̀ŋgùlɔ̀	bòŋgèlé		bɔ́ŋgɛ́lɛ̀	bɔ̀ŋgɔ̀
body	torso	corps	torse	10	4	6	breast	sein	00323	old	basic	breast	female breast	female breast	sein de la femme	írù	súɥɛ̀	írú	írù	úrù	úrî	iru	írù	ɛ̂m	írù		írí	írù	ʔìrí	ìrí:	írú	ɲ́jù	ɛ́mnɛ́	ɛ́mɛ́	ónjù:\\ónjì:	ùnjìgè	ógyé	èsè (èsè gé)	ʔójjè	éjjé (y-)
body	torso	corps	torse	10	4	8	back	dos	00325	old		back		back (body)	dos	tùŋɔ́	ɡĩ̀ĩ́	ònú	tùlù-kɛ́lɛ̀	tùndú, tùndù kɛ́ndɛ̀	tùndù bìrⁿɛ́	gun,guncɛnɛ	gǔn, gùn-cɛ́nɛ́	tùr-kɛ́lɛ́	gùn kɛ́nɛ́	gùn-cɛ́nɛ́	dògò-kɛ́nɛ́	ònɔ́	dùgòlò	dògòlò	ònnú	ǹdóŋ	kúndúgó	tùnù	bàndí-ŋgé\\bàndí	kùŋgù	túndú		pùmbù	túndú
body	bone	corps	os	10	6	1	bone	os	00343	old	basic	bone	bone	bone	os	cìrá	n nɔ́ɔ́rɛ̀	kíí	cìrⁿɛ̌yⁿ	kìrⁿěy	kìrⁿá	cirⁿe	cìrⁿé	kìrⁿé	kìrⁿé	cìrⁿé	kìrⁿí	kǐ:	cìlɛ̀	cìlɛ̀	kìyé	kɛ́nɛ́	cìnǎ:	kìrⁿà	kìná-ŋgó\\kìná	cíní	gà:wⁿě:	gà:wá (gà:wá gè)	gá:yè	gɔ̀:gɛ̀
body	internal organ	corps	organe interne	10	7	1	liver	foie	00359	old	basic	liver	liver	liver	foie	cɛ́lá	(máa) kúrì kìŋɡɛ́	kíné \\ kɪ́nɛ́	cɛ́lɛ̀ ~ kɛ́lɛ̀	kɛ́ndɛ̀	kɛ́ndɛ̀	cɛnɛ	cɛ́nɛ̀	kɛ́lɛ̀	kɛ́nɛ̀	cɛ́nɛ̀	kɛ́nɛ́	kínɛ́	cándálá	cándálá	(nàmà) kíndɛ́	kíndà	kɛ́ndɛ́	cíndá	kéndà:\\kɛ́ndɛ̀:	cìndà	kíndá	kèndà (kèndà gé)	kìndà	kìndà
body	internal organ	corps	organe interne	10	7	2	heart	cœur	00360	old	basic		heart	heart	cœur	cɛ̀là-tóŋó	bìmɛ̀	lùmtɔ́rɔ́ \\ lùmdɔ́rɔ́ \\ lòmdóró	cɛ̀lɛ̀-yî:	kɛ̀ndɛ̀ dúwà	kɛ̀ndɛ̀-sóró	cɛnɛ	cɛ́nɛ̀	kɛ̀lɛ̀-î:ⁿ	kɛ̀nɛ̀ î:ⁿ		kɛ̀nɛ̀-jógó	lòŋgá	sóⁿ	cɛ̀nɛ̀-nɛ̀yⁿ	kìndɛ̀ dúgɔ́	kìɲjɔ́ dònnɛ́	kɛ̀ndɛ̀-dùgáyɛ́	cìndà-àndònò, cìndà dùgá	kèndà: sósòrò:\\kɛ̀ndɛ̀: sósòrè:	dòŋgò-sèŋgé	dóŋgósí	dòwⁿ-sèmbè (dòwⁿ-sèmbè gé)	dòŋgò-bè	dòŋgò-sê:
body	internal organ	corps	organe interne	10	7	10	intestine	intestin	00368	old			intestines (big and small)	intestines (big and small)	intestin (gros et grêle)	pùŋúrɔ̀, pùŋgúrɔ̀	ŋɔ̀ kúrúʋɛ̀	kɔ̀rdʒá (<AB), kɔ̀rùdʒá (<EK)	pìrè-kɔ́rɔ̀	pìrè-kɔ́rɔ̀	bìndî, pìrè-kɔ́rɔ̂	kɔrⁿiⁿ	kɔ̀rⁿî:ⁿ		kɔ̀rⁿî:		kɔ̀rⁿí:	kɔ̀ljâ:	kwɛ̀lɛ̀ⁿ	kwɛ̀lɛ̀yⁿ	bìndú	bìndú	bɛ̀ndǎ:	pídím	bìndú\\bìndé	kólóndó	nòlè ɲóŋgò		dòlé-ŋ-kòndè	nòlè
body	joint	corps	articulation	10	10	1	knee	genou	00387	old	basic	knee	knee	knee	genou	nìŋó	bʷèɛ́ kǔmbɛ́	jóŋgóró	sínjì:, síŋgì:	kízì	kùnjò-kúnjô	nɛŋɛ,nɛŋɛbere	nɛ̀ŋɛ́, nɛ̀ŋɛ̀ béré	nìŋgé	nèŋé	nɛ̀ŋɛ́	nèŋèrè-kúⁿ	yúŋóló	ɲùŋgòlò	ɲùŋgòlòkùⁿ	ànù yóŋóló	kúɲjù	kúndú	kúnzú	nà:-kínjì-ŋgè\\nà:-kínjì:	kúnjúgɔ́	kúnjúgà	kùjù (kùjù gé)	kúnjúgà	kùnjùgà
body	arm	corps	bras	10	11	1	hand	main	00399	old	basic	arm, hand		hand	main	lɔ̀-tɔ́	nníí	nɔ́ɔ́ \\ nùwⁿɔ́ \\ nùmɔ́	nǎ:	nǎ:	nǎ:	numo	nùmó	nùwⁿó		nùmɔ́		nǒyⁿ	nùmà-càndà	nùmà-tàgà	nùmɔ́	nùmɔ́	nùmǎ:	nùmà	nùmǎ:\\nùmɛ̌:	númá		nùmá (nùmá gè)	númɛ̀	nwɛ̀: ~ nɛ̀:
body	arm	corps	bras	10	11	2	arm	bras	00400	old		arm, hand		arm	bras	lɔ́	nnìì	nɔ́ɔ́ \\ nùmɔ́ 	nǎ:	nǎ:	nǎ:	numo	nùmó	nùwⁿó				nǒyⁿ			nùmɔ́	nùmɔ́	nùmǎ:	nùmà	nùmǎ:\\nùmɛ̌:	númá			númɛ̀	
body	arm	corps	bras	10	11	3	hand	main	00401	old		arm, hand		hand, arm	main, bras	lɔ́	nníí	nɔ́ɔ́ \\ nùwⁿɔ́ \\ nùmɔ́	nǎ:	nǎ:	nǎ:	numo	nùmó	nùwⁿó	nùmó		nùmɔ́	nǒyⁿ	nùmà	nùmà	nùmɔ́	nùmɔ́	nùmǎ:	nùmà	nùmǎ:\\nùmɛ̌:	númá	nɛ̂:, nwɛ̂:			
body	leg	corps	jambe	10	12	1	foot	pied	00411	old	basic	leg/foot		foot	pied	kúwɔ́, kùwɔ̀-tɔ́	bʷèɛ̀	kúbɔ́ \\ kùbɔ̀ sáá	lɔ̀sɔ̂:	ǹdɔ̀sɔ̂:	lɔ̀sɔ̂	kɔ	kɔ́:	kúwɔ́	kúwⁿ́ xxx	kɔ́:	kúwɔ́	kúbɔ́	kùbà-càndà	kùbà-tàgà	ánú	náágù	lǎ:	nà:	nà:-gó\\nǎ:	tònjè	sí:	sò: (sò: gé)	sè (sè: nɔ́)	sígé
body	leg	corps	jambe	10	12	2	leg	leg	00412	old		leg/foot	leg	leg	jambe	kúwɔ́	bʷéɛ̀	kúbɔ́	lɔ̀sɔ̂:	ǹdɔ̀sɔ̂:	lɔ̀sɔ̂	kɔ	kɔ́:	kúwɔ́	kúwⁿ́ xxx		pàgá	kúbɔ́	kùbá	kùbá	ánú			nà:	nà:-gó\\nǎ:	tònjè			sè (sè: nɔ́)	
body	leg	corps	jambe	10	12	10	thigh	cuisse	00420	old		thigh		thigh, upper leg (of person)	cuisse, jambe supérieure (de personne)	pàgá	tóŋɡó-rò	pàɣá	pì-pǎ:	pǎ:	pàgá	daŋarⁿa,digɛ	dáŋárⁿá, dígɛ́	pà-pàgá	dígɛ́		tɔ̀wɔ́	pàgá	pàʔá	pàgà	ànù pàgá	páágá	pàgá	pàgà	nà:-págà:\\-págɛ̀:	pàgà				
body	finger/toe	corps	doigt/orteil	10	13	1	finger	doigt	00422	old			finger	finger	doigt	lɔ̀-[ì-rⁿú]	n nìì kʷéɛ̀	nɔ̀ɔ̀ úrⁿú	nà:-sî:ⁿ	nà:-sìrî:	làsìrî	numoiⁿ	nùmò-î:ⁿ	nùwⁿò-šî:ⁿ	nùmò î:ⁿ		nùmɔ̀-í:ⁿ	nòyⁿ-sǎy	nùmɛ̀ⁿ-ʔí:ⁿ	nùmè-ʔí:ⁿ	nùmɔ̀ sǎy	nùmɔ̀ sáígù	nùmà:-íyɛ́	nùmà-é:, nùmà-yé	nùmà-sɛ́ndɔ̀:\\-sɛ́ndɛ̀:	nùmá sèŋgé ("hand ...")	nɛ̀: sí:		nùmɛ́-sè (def -sê: nɔ̀, pl sě:-gè)	nɛ̀:-sé (pl -sé:-gè)
body	finger/toe	corps	doigt/orteil	10	13	12	nail	ongle	00433	old	basic			fingernail, toenail	ongle (de la main ou de l'orteil)	cèwrěy		kòbùrí	kɔ̌wⁿrⁿî:	kɔ́:rɔ̂:	kɔ̀mɔ́rɔ̂, kɔ̀mbɔ́rɔ̂	kikow,kukow	kì-kǒw, kù-kǒw	kómjó			kɔ̀rⁿí:				kòbìlìyé	kóbùlùŋ	kòbìl-íyɛ́	kòmbíl-yè	kóbùlù:\\kóbìlì:	kòwàlè	kóbélé	kɔ̀ríyɛ̀ (kɔ̀ríyɛ̀ gé)	kòbàlì	kɔ́búlɛ̀
body	hair	corps	poil	10	14	1	hair	cheveux	00434	old	basic	hair	hair	hair	cheveux	kúrɔ́	déɡé kújù	kùkùrí	kù-kùyɔ́	kùyá	kìyá	kurɔ	kúrɔ́	kúrɔ́	kúrɔ́		kúrɔ́	kù-kûl	kùlɛ́	kùlɛ́	kúló	kíŋgìlɛ̀	kùŋgùlà-íyɛ́ (head hair), gùdù-kúlà (body hair)	kùlà	kùlɛ́-ŋgó\\kùlɛ́	kùlèŋgè	kúlɛ́	kùrɛ̀ (kùrɛ̀ gé)	kùlɛ̀	kúlɛ́
body	head	corps	tête	10	15	1	head	tête	00455	old	basic		head	head	tête	kú, kù-bónó	déɡè	kúú	kû:, kù-tógórò	kû:	kû:	darⁿa,kuⁿ	dárⁿá, kú:ⁿ	kù:-tógóró	kú:ⁿ	kú:ⁿ	kùⁿ-kɛ́nɛ́, kúⁿ, kùnúgóró	kû:, dárⁿá	gòndò	gòndò	kúú, dáná	kíígù	kú-gɔ́, dànà-bándá	dàrⁿà-bàndá, kò-tógóró, dàrⁿá (also 'top'), kó: (abstractl)	kî:-ŋgè\\kî:, dánà:\\dánɛ̀:	kògò, dànà	kó:	kò: (kò: gé)	kò (kò:)	kó:
body	ear	corps	oreille	10	16	1	ear	oreille	00460	old	basic	ear	ear	ear	oreille	súgúrú	táŋá	súgúrú	sú:rⁿù	sûn	súŋúrⁿì	sun	sûn	súŋúrⁿù	súŋùn	sûn	súgúrú	súgùrù	sùgú	súgú	súgúlú	súŋùnù	súrⁿó	sún	súnù:\\súnì:	sùŋùnù	súgúlí, súgúlí kìjìkìjì (back part of ear)	sùgùrù (sùgùrù gé)	sùgùlè	súgúlyè
body	eye	corps	œil	10	17	1	eye	œil	00464	old	basic	eye	eye	eye	œil	jìró, gìró	sííbɛ́ɛ̀	gìrí \\ gìrú	jìré	gìré	gìré	jire	jìré	gìré	gìré	jìré	gìré	gìrǐ:	jìrí:ⁿ	jìrì:ⁿ	gìré	gìró	gìré (eyes)	gìd-íyè, gìdè	gìró\\gìré	jíró	gírè	gìdó (gìdò gé)	gíré-sè	gìrè
body	mouth	corps	bouche	10	18	1	mouth	bouche	00477	old	basic	mouth	mouth	mouth	bouche	ká	nɔ́ẁ	áŋá \\ kɛ̀nɛ́	mǒ: ~ m̀bǒ:	mbǔ:	nɔ̌:	ka	ká:	ká:	ká:		káⁿ	kɛ̀nɛ́, áŋá	ká:ⁿ	ká:ⁿ	kɛ̀nnɛ́, áŋá	kɛ́nnù	m̀bù-gɔ́	cɛ́nɛ́, m̀bò (chiefly in compounds)	ìbí-ŋgé\\ìbí	ɔ̀mɔ̀	dónì	ìmbí (ìmbí gè)	tònì	dòn
