# IDS
ID	Language	Gloss	GlossID	IDS_ID	Ortho	IPA	CogID
65	English	the water	341	1.31	water	wɔːtər	1025
# 
66	German	the sea	342	1.32	See	zeː	1027
67	French	the sea	342	1.32	mer	mɛʁ	1028
68	Dutch	the sea	342	1.32	zee	zeː	1027
69	English	the sea	342	1.32	sea	siː	1027
# 
70	German	calm	608	1.322	Meeresstille	meːrəs#ʃtɪlə	1835
71	French	calm	608	1.322	étale	etale	1837
72	Dutch	calm	608	1.322	kalm	kɑlm	1836
73	Dutch	calm	608	1.322	rustig	rʉstəx	1838
74	English	calm	608	1.322	calm	kɑːm	1836
# 
75	German	rough(2)	607	1.323	rauh	rau	1832
76	French	rough(2)	607	1.323	trouble	tʀubl	1833
77	French	rough(2)	607	1.323	agité	aʒite	1834
78	Dutch	rough(2)	607	1.323	ruw	ryːw	1832
79	English	rough(2)	607	1.323	rough	rʌf	1832
# 
80	German	the foam	606	1.324	Schaum	ʃaum	1828
81	French	the foam	606	1.324	écume	ekym	1830
82	French	the foam	606	1.324	mousse	mus	1831
83	Dutch	the foam	606	1.324	schuim	sxœym	1828
84	English	the foam	606	1.324	foam	fəʊm	1829
# 
85	German	the ocean	602	1.329	Weltmeer	vɛlt#meːr	1815
86	German	the ocean	602	1.329	Ozean	oːʦeːaːn	-1816
87	French	the ocean	602	1.329	océan	ɔseɑ̃	1816
88	Dutch	the ocean	602	1.329	oceaan	oːseːjaːn	-1816
89	English	the ocean	602	1.329	ocean	əʊʃṇ	-1816
# 
90	German	the lake	343	1.33	See	zeː	1029
91	French	the lake	343	1.33	lac	lak	1030
92	Dutch	the lake	343	1.33	meer	meːr	1031
93	English	the lake	343	1.33	lake	leɪk	-1030
# 
94	German	the bay	344	1.34	Meerbusen	meːr#buːzən	1032
95	German	the bay	344	1.34	Golf	ɡɔlf	-1034
96	German	the bay	344	1.34	Bucht	bʊxt	1035
97	French	the bay	344	1.34	golfe	ɡɔlf	1034
98	French	the bay	344	1.34	baie	bɛ	1033
99	Dutch	the bay	344	1.34	baai	baːj	-1033
100	English	the bay	344	1.34	bay	beɪ	-1033
# 
101	German	the lagoon	109	1.341	Lagune	laɡuːnə	-335
102	French	the lagoon	109	1.341	lagune	laɡyn	335
103	Dutch	the lagoon	109	1.341	lagune	laːɣyːnə	-335
104	English	the lagoon	109	1.341	lagoon	ləɡuːn	-335
# 
105	German	the reef	113	1.342	Riff	rɪf	-346
106	French	the reef	113	1.342	récif	ʀesif	6001
107	Dutch	the reef	113	1.342	rif	rɪf	346
108	English	the reef	113	1.342	reef	riːf	-346
# 
109	German	the cape	110	1.343	Landzunge	lant#ʦʊŋə	336
110	French	the cape	110	1.343	promontoire	pʀɔmɔ̃twaʀ	338
111	French	the cape	110	1.343	pointe	pwɛ̃t	339
112	Dutch	the cape	110	1.343	kaap	kaːp	337
113	English	the cape	110	1.343	cape	keɪp	337
# 
114	German	the wave	345	1.35	Welle	vɛlə	1036
115	German	the wave	345	1.35	Woge	voːɡə	1038
116	French	the wave	345	1.35	vague	vaɡ	1038
117	Dutch	the wave	345	1.35	golf	xɔlf	1039
118	English	the wave	345	1.35	wave	weɪv	1037
# 
119	German	the river or stream	346	1.36	Fluss	flʊs	1040
120	German	the river or stream	346	1.36	Strom	ʃtroːm	1043
121	German	the river or stream	346	1.36	Bach	bax	1044
122	French	the river or stream	346	1.36	fleuve	flœv	1042
123	French	the river or stream	346	1.36	rivière	ʀivjɛʀ	1041
124	French	the river or stream	346	1.36	ruisseau	ʀɥiso	1045
125	Dutch	the river or stream	346	1.36	rivier	riːviːr	-1041
126	Dutch	the river or stream	346	1.36	stroom	stroːm	1043
127	English	the river or stream	346	1.36	river	rɪvər	-1041
128	English	the river or stream	346	1.36	stream	striːm	1043
# 
129	German	the whirlpool	512	1.362	Strudel	ʃtruːdəl	1538
130	German	the whirlpool	512	1.362	Wirbel	vɪrbəl	1539
131	French	the whirlpool	512	1.362	tourbillon	tuʀbijɔ̃	1540
132	Dutch	the whirlpool	512	1.362	draaikolk	draːjkɔlk	1541
133	English	the whirlpool	512	1.362	whirlpool	wɜːlpuːl	6003
# 
134	German	the spring or well	347	1.37	Quelle	kvɛlə	1046
135	German	the spring or well	347	1.37	Brunnen	brʊnən	1047
136	French	the spring or well	347	1.37	source	suʀs	1048
137	French	the spring or well	347	1.37	puits	pɥi	1050
138	Dutch	the spring or well	347	1.37	bron	brɔn	1047
139	English	the spring or well	347	1.37	spring	sprɪŋ	6004
140	English	the spring or well	347	1.37	well	wɛl	1049
# 
141	German	the swamp	339	1.38	Sumpf	zʊmp͡f	1020
142	German	the swamp	339	1.38	Morast	moːrast	-1021
143	French	the swamp	339	1.38	marais	maʀɛ	1021
144	French	the swamp	339	1.38	marécage	maʀekaʒ	1021
145	Dutch	the swamp	339	1.38	moeras	muːrɑs	-1021
146	English	the swamp	339	1.38	swamp	swɔmp	1020
# 
147	German	the woods or forest	139	1.41	Wald	valt	427
148	French	the woods or forest	139	1.41	bois	bwa	429
149	French	the woods or forest	139	1.41	forêt	fɔʀɛ	428
150	Dutch	the woods or forest	139	1.41	bos	bɔs	430
151	Dutch	the woods or forest	139	1.41	woud	wɑut	427
152	English	the woods or forest	139	1.41	forest	fɔrɪst	-428
# 
153	German	the wood	141	1.43	Holz	hɔlʦ	436
154	French	the wood	141	1.43	bois	bwa	438
155	Dutch	the wood	141	1.43	hout	hɑut	436
156	English	the wood	141	1.43	wood	wʊd	437
# 
157	German	the stone or rock	138	1.44	Stein	ʃtain	423
158	German	the stone or rock	138	1.44	Fels	fɛls	426
159	French	the stone or rock	138	1.44	pierre	pjɛʀ	424
160	French	the stone or rock	138	1.44	roc	ʀɔk	425
161	French	the stone or rock	138	1.44	rocher	ʀɔʃe	425
162	Dutch	the stone or rock	138	1.44	rots	rɔʦ	-425
163	Dutch	the stone or rock	138	1.44	steen	steːn	423
164	English	the stone or rock	138	1.44	stone	stəʊn	423
165	English	the stone or rock	138	1.44	rock	rɔk	-425
# 
166	German	the earthquake	137	1.45	Erdbeben	eːrt#beːbən	420
167	French	the earthquake	137	1.45	séisme	seism	422
168	Dutch	the earthquake	137	1.45	aardbeving	aːrd#beːvɪŋ	420
169	English	the earthquake	137	1.45	earthquake	ɜːθ#kweɪk	421
# 
170	German	the sky	679	1.51	Himmel	hɪməl	2051
171	French	the sky	679	1.51	ciel	sjɛl	2053
172	Dutch	the sky	679	1.51	hemel	heːməl	2051
173	English	the sky	679	1.51	sky	skaɪ	2052
# 
174	German	the sun	677	1.52	Sonne	zɔnə	2047
175	French	the sun	677	1.52	soleil	sɔlɛj	2047
176	Dutch	the sun	677	1.52	zon	zɔn	2047
177	English	the sun	677	1.52	sun	sʌn	2047
# 
178	German	the moon	678	1.53	Mond	moːnt	2049
179	French	the moon	678	1.53	lune	lyn	2050
180	Dutch	the moon	678	1.53	maan	maːn	2049
181	English	the moon	678	1.53	moon	muːn	2049
# 
182	German	the lightning	681	1.55	Blitz	blɪʦ	2055
183	French	the lightning	681	1.55	éclair	eklɛʀ	2057
184	Dutch	the lightning	681	1.55	bliksem	blɪksəm	2055
185	English	the lightning	681	1.55	lightning	laɪt#nɪŋ	2056
# 
186	German	the thunder	680	1.56	Donner	dɔnər	2054
187	French	the thunder	680	1.56	tonnerre	tɔnɛʀ	2054
188	Dutch	the thunder	680	1.56	donder	dɔndər	2054
189	English	the thunder	680	1.56	thunder	θʌndər	2054
# 
190	German	the storm	683	1.58	Sturm	ʃtʊrm	2062
191	French	the storm	683	1.58	orage	ɔʀaʒ	2063
192	French	the storm	683	1.58	tempête	tɑ̃pɛt	2064
193	Dutch	the storm	683	1.58	storm	stɔrm	2062
194	English	the storm	683	1.58	storm	stɔːm	2062
# 
195	German	the rainbow	684	1.59	Regenbogen	reːɡən#boːɡən	2065
196	French	the rainbow	684	1.59	arc-en-ciel	aʀkɑ̃sjɛl	2066
197	Dutch	the rainbow	684	1.59	regenboog	reːɣəm#boːx	2065
198	English	the rainbow	684	1.59	rainbow	reɪn#bəʊ	2065
# 
199	German	the light	461	1.61	licht	lɪxt	1375
200	German	the light	461	1.61	Beleuchtung	bə#lɔyx#tʊŋ	1377
201	French	the light	461	1.61	lumière	lymjɛʀ	1375
202	Dutch	the light	461	1.61	licht	lɪxt	1375
203	English	the light	461	1.61	light	laɪt	1375
# 
204	German	the darkness	460	1.62	Finsternis	fɪnstər#nɪs	1370
205	German	the darkness	460	1.62	Dunkelheit	dʊŋkəl#hait	1373
206	French	the darkness	460	1.62	obscurité	ɔpskyʀite	1372
207	French	the darkness	460	1.62	ténèbres	tenɛbʀ	1374
208	Dutch	the darkness	460	1.62	duisternis	dœystər#nɪs	6005
209	English	the darkness	460	1.62	darkness	dɑːk#nɪs	6006
# 
210	German	the shade or shadow	459	1.63	schatten	ʃatən	1368
211	French	the shade or shadow	459	1.63	ombre	ɔ̃bʀ	1369
212	Dutch	the shade or shadow	459	1.63	schaduw	sxaːdyːw	1368
213	English	the shade or shadow	459	1.63	shadow	ʃædəʊ	1368
214	English	the shade or shadow	459	1.63	shade	ʃeɪd	1368
# 
215	German	the dew	458	1.64	Tau	tau	1365
216	French	the dew	458	1.64	rosée	ʀoze	1367
217	Dutch	the dew	458	1.64	dauw	dɑuw	1365
218	English	the dew	458	1.64	dew	djuː	1365
# 
219	German	the air	252	1.71	Luft	lʊft	758
220	French	the air	252	1.71	air	ɛʀ	759
221	Dutch	the air	252	1.71	lucht	lʉxt	758
222	English	the air	252	1.71	air	ɛər	-759
# 
223	German	the wind	253	1.72	Wind	vɪnt	760
224	French	the wind	253	1.72	vent	vɑ̃	760
225	Dutch	the wind	253	1.72	wind	wɪnt	760
226	English	the wind	253	1.72	wind	wɪnd	760
# 
227	German	the cloud	254	1.73	Wolke	vɔlkə	762
228	French	the cloud	254	1.73	nuage	nyaʒ	764
229	Dutch	the cloud	254	1.73	wolk	wɔlk	762
230	English	the cloud	254	1.73	cloud	klaʊd	763
# 
231	German	the fog	249	1.74	Nebel	neːbəl	750
232	French	the fog	249	1.74	brume	bʀym	752
233	French	the fog	249	1.74	brouillard	bʀujaʀ	752
234	Dutch	the fog	249	1.74	mist	mɪst	753
235	English	the fog	249	1.74	fog	fɔɡ	751
# 
236	German	the rain	250	1.75	regen	reːɡən	754
237	French	the rain	250	1.75	pluie	plɥi	755
238	Dutch	the rain	250	1.75	regen	reːɣə	754
239	English	the rain	250	1.75	rain	reɪn	754
# 
240	German	the snow	251	1.76	Schnee	ʃneː	756
241	French	the snow	251	1.76	neige	nɛʒ	756
242	Dutch	the snow	251	1.76	sneeuw	sneːw	756
243	English	the snow	251	1.76	snow	snəʊ	756
# 
244	German	the weather	256	1.78	Wetter	vɛtər	768
245	French	the weather	256	1.78	temps	tɑ̃	769
246	Dutch	the weather	256	1.78	weer	weːr	768
247	English	the weather	256	1.78	weather	wɛðər	768
# 
248	German	the fire	402	1.81	Feuer	fɔyər	1211
249	French	the fire	402	1.81	feu	fø	6007
250	Dutch	the fire	402	1.81	vuur	vyːr	1211
251	English	the fire	402	1.81	fire	faɪər	1211
# 
252	German	the smoke	403	1.83	Rauch	raux	1212
253	French	the smoke	403	1.83	fumée	fyme	1214
254	Dutch	the smoke	403	1.83	rook	roːk	1212
255	English	the smoke	403	1.83	smoke	sməʊk	1213
# 
256	German	to light	405	1.86	anzünden	an#ʦʏndən	1219
257	German	to light	405	1.86	anstecken	an#ʃtɛkən	1222
258	French	to light	405	1.86	allumer	a#lyme	1221
259	French	to light	405	1.86	enflammer	ɑ̃#flame	6008
260	Dutch	to light	405	1.86	aansteken	aːn#steːkə	1222
261	English	to light	405	1.86	light	laɪt	1220
# 
262	German	to extinguish	182	1.861	auslöschen	aus#lɶːʃən	558
263	French	to extinguish	182	1.861	éteindre	etɛ̃dʀ	560
264	Dutch	to extinguish	182	1.861	doven	doːvə	561
265	English	to extinguish	182	1.861	extinguish	ɪks#tɪŋɡwɪʃ	559
# 
266	German	the match	404	1.87	Streichholz	ʃtraix#hɔlʦ	1215
267	German	the match	404	1.87	Zündholz	ʦʏnt#hɔlʦ	6009
268	French	the match	404	1.87	allumette	alymɛt	1217
269	Dutch	the match	404	1.87	lucifer	lyːsiːfɛr	1218
270	English	the match	404	1.87	match	mæʧ	1216
# 
271	German	the firewood	401	1.88	Brennholz	brɛn#hɔlʦ	1208
272	French	the firewood	401	1.88	bûches	byʃe	1210
273	Dutch	the firewood	401	1.88	brandhout	brɑnt#hɑut	1208
274	English	the firewood	401	1.88	firewood	faɪə#wʊd	1209
# 
275	German	the man	35	2.21	Mann	man	106
276	French	the man	35	2.21	homme	ɔm	107
277	Dutch	the man	35	2.21	man	mɑn	106
278	English	the man	35	2.21	man	mæn	106
# 
279	German	the woman	33	2.22	Frau	frau	100
280	German	the woman	33	2.22	Weib	vaip	103
281	French	the woman	33	2.22	femme	fam	102
282	Dutch	the woman	33	2.22	vrouw	vrɑuw	100
283	English	the woman	33	2.22	woman	wʊmən	101
# 
284	German	male(1)	34	2.23	männlich	mɛn#lɪx	104
285	French	male(1)	34	2.23	mâle	mɑl	105
286	Dutch	male(1)	34	2.23	mannelijk	mɑnə#lək	104
287	English	male(1)	34	2.23	male	meɪl	-105
# 
288	German	female(1)	38	2.24	weiblich	vaip#lɪx	114
289	French	female(1)	38	2.24	femelle	fəmɛl	115
290	Dutch	female(1)	38	2.24	vrouwelijk	vrɑuwə#lək	6009
291	English	female(1)	38	2.24	female	fiːmeɪl	-115
# 
292	German	the boy	39	2.25	Junge	jʊŋə	116
293	German	the boy	39	2.25	Knabe	knaːbə	119
294	French	the boy	39	2.25	garçon	ɡaʀsɔ̃	118
295	Dutch	the boy	39	2.25	jongen	jɔŋə	116
296	English	the boy	39	2.25	boy	bɔɪ	117
# 
297	German	the girl	36	2.26	Mädchen	mɛːtxən	108
298	French	the girl	36	2.26	fille	fij	110
299	Dutch	the girl	36	2.26	meisje	mɛɪsjə	108
300	English	the girl	36	2.26	girl	ɡɜːl	109
# 
301	German	the child(1)	37	2.27	Kind	kɪnt	111
302	French	the child(1)	37	2.27	enfant	ɑ̃fɑ̃	113
303	Dutch	the child(1)	37	2.27	kind	kɪnt	111
304	English	the child(1)	37	2.27	child	ʧaɪld	112
# 
305	German	the baby	32	2.28	Säugling	zɔyk#lɪŋ	97
306	German	the baby	32	2.28	Baby	beːbiː	-98
307	French	the baby	32	2.28	enfant	ɑ̃fɑ̃	99
308	French	the baby	32	2.28	bébé	bebe	98
309	Dutch	the baby	32	2.28	baby	beːbiː	-98
310	English	the baby	32	2.28	baby	beɪbɪ	-98
# 
311	German	the husband	243	2.31	Mann	man	727
312	French	the husband	243	2.31	mari	maʀi	729
313	French	the husband	243	2.31	époux	epu	731
314	Dutch	the husband	243	2.31	echtgenoot	ɛxt#xənoːt	730
315	Dutch	the husband	243	2.31	man	mɑn	727
316	English	the husband	243	2.31	husband	hʌzbənd	728
# 
317	German	the wife	245	2.32	Frau	frau	736
318	German	the wife	245	2.32	Gattin	ɡatɪn	740
319	German	the wife	245	2.32	Gemahlin	ɡə#maːlɪn	742
320	French	the wife	245	2.32	femme	fam	738
321	French	the wife	245	2.32	épouse	epuz	741
322	Dutch	the wife	245	2.32	echtgenote	ɛxt#xənoːtə	739
323	Dutch	the wife	245	2.32	vrouw	vrɑuw	736
324	English	the wife	245	2.32	wife	waɪf	737
# 
325	German	to marry	244	2.33	heiraten	hairaːtən	732
326	French	to marry	244	2.33	épouser	epuze	734
327	Dutch	to marry	244	2.33	trouwen	trɑuwə	735
328	English	to marry	244	2.33	marry	mærɪ	733
# 
329	German	the wedding	241	2.34	Ehe	eː.ə	721
330	German	the wedding	241	2.34	Hochzeit	hɔx#ʦait	725
331	French	the wedding	241	2.34	mariage	maʀjaʒ	723
332	Dutch	the wedding	241	2.34	bruiloft	brœylɔft	724
333	English	the wedding	241	2.34	wedding	wɛdɪŋ	722
# 
334	German	the divorce	296	2.341	Ehescheidung	eː.ə#ʃaidʊŋ	892
335	German	the divorce	296	2.341	Scheidung	ʃaidʊŋ	892
336	French	the divorce	296	2.341	divorce	divɔʀs	893
337	Dutch	the divorce	296	2.341	scheiding	sxɛɪdɪŋ	892
338	English	the divorce	296	2.341	divorce	dɪvɔːs	-893
# 
339	German	the father	240	2.35	Vater	faːtər	719
340	French	the father	240	2.35	père	pɛʀ	721
341	Dutch	the father	240	2.35	vader	vaːdər	719
342	English	the father	240	2.35	father	fɑːðər	719
# 
343	German	the mother	242	2.36	Mutter	mʊtər	726
344	French	the mother	242	2.36	mère	mɛʀ	726
345	Dutch	the mother	242	2.36	moeder	muːdər	726
346	English	the mother	242	2.36	mother	mʌðər	726
# 
347	German	the son	449	2.41	Sohn	zoːn	1341
348	French	the son	449	2.41	fils	fis	1342
349	Dutch	the son	449	2.41	zoon	zoːn	1341
350	English	the son	449	2.41	son	sʌn	1341
# 
351	German	the child(2)	450	2.43	Kind	kɪnt	1343
352	French	the child(2)	450	2.43	enfant	ɑ̃fɑ̃	1345
353	Dutch	the child(2)	450	2.43	kind	kɪnt	1343
354	English	the child(2)	450	2.43	child	ʧaɪld	1344
# 
355	German	the grandfather	452	2.46	Großvater	ɡroːs#faːtər	1351
356	French	the grandfather	452	2.46	grand-père	ɡʀɑ̃#pɛʀ	1351
357	Dutch	the grandfather	452	2.46	grootvader	xroːt#faːdər	1351
358	English	the grandfather	452	2.46	grandfather	ɡrænd#fɑːðər	1351
# 
359	German	the old man	289	2.461	Greis	ɡrais	871
360	French	the old man	289	2.461	vieillard	vjɛjaʀ	873
361	Dutch	the old man	289	2.461	man	mɑn	874
362	English	the old man	289	2.461	old man	əʊld#mæn	874
# 
363	German	the grandmother	453	2.47	Großmutter	ɡroːs#mʊtər	1353
364	French	the grandmother	453	2.47	grand-mère	ɡʀɑ̃#mɛʀ	1353
365	Dutch	the grandmother	453	2.47	grootmoeder	xroːt#muːdər	1353
366	English	the grandmother	453	2.47	grandmother	ɡræn#mʌðər	1353
# 
367	German	the grandson	454	2.48	Enkel	ɛŋkəl	1354
368	French	the grandson	454	2.48	petit-fils	pəti#fis	1356
369	Dutch	the grandson	454	2.48	kleinzoon	klɛɪn#zoːn	1355
370	English	the grandson	454	2.48	grandson	ɡræn#sʌn	1355
# 
371	German	the granddaughter	455	2.49	Enkelin	ɛŋkəlɪn	1357
372	French	the granddaughter	455	2.49	petite-fille	pətit#fij	1359
373	Dutch	the granddaughter	455	2.49	kleindochter	klɛɪn#dɔxtər	1358
374	English	the granddaughter	455	2.49	granddaughter	ɡræn#dɔːtər	1358
# 
375	German	the uncle	670	2.51	Onkel	ɔŋkəl	-2030
376	French	the uncle	670	2.51	oncle	ɔ̃kl	2030
377	Dutch	the uncle	670	2.51	oom	oːm	2031
378	English	the uncle	670	2.51	uncle	ʌŋkḷ	-2030
# 
379	German	the aunt	669	2.52	Tante	tantə	-2027
380	French	the aunt	669	2.52	tante	tɑ̃t	2027
381	Dutch	the aunt	669	2.52	tante	tɑntə	-2027
382	English	the aunt	669	2.52	aunt	ɑːnt	-2027
# 
383	German	the nephew	668	2.53	Neffe	nɛfə	-2026
384	French	the nephew	668	2.53	neveu	nəvø	2026
385	Dutch	the nephew	668	2.53	neef	neːf	-2026
386	English	the nephew	668	2.53	nephew	nɛvjuː	-2026
# 
387	German	the niece	673	2.54	Nichte	nɪxtə	2038
388	French	the niece	673	2.54	nièce	njɛs	2039
389	Dutch	the niece	673	2.54	nicht	nɪxt	2038
390	English	the niece	673	2.54	niece	niːs	-2039
# 
391	German	the cousin	672	2.55	Vetter	fɛtər	2034
392	German	the cousin	672	2.55	Kusine	kuːziːnə	-2035
393	French	the cousin	672	2.55	cousin	kuzɛ̃	2035
394	Dutch	the cousin	672	2.55	neef	neːf	2036
395	Dutch	the cousin	672	2.55	nicht	nɪxt	2037
396	English	the cousin	672	2.55	cousin	kʌzṇ	-2035
# 
397	German	the father-in-law (of a man)	135	2.61	Schwiegervater	ʃviːɡər#faːtər	412
398	French	the father-in-law (of a man)	135	2.61	beau-père	bo#pɛʀ	412
399	Dutch	the father-in-law (of a man)	135	2.61	schoonvader	sxoːn#vaːdər	412
400	English	the father-in-law (of a man)	135	2.61	father-in-law	fɑːðər#ɪn#lɔː	412
# 
401	German	the mother-in-law (of a man)	133	2.62	Schwiegermutter	ʃviːɡər#mʊtər	406
402	French	the mother-in-law (of a man)	133	2.62	belle-mère	bɛl#mɛʀ	406
403	Dutch	the mother-in-law (of a man)	133	2.62	schoonmoeder	sxoːn#muːdər	406
404	English	the mother-in-law (of a man)	133	2.62	mother-in-law	mʌðər#ɪn#lɔː	406
# 
405	German	the son-in-law (of a man)	134	2.63	Schwiegersohn	ʃviːɡər#zoːn	409
406	French	the son-in-law (of a man)	134	2.63	gendre	ʒɑ̃dʀ	411
407	Dutch	the son-in-law (of a man)	134	2.63	schoonzoon	sxoːn#zoːn	409
408	English	the son-in-law (of a man)	134	2.63	son-in-law	sʌn#ɪn#lɔː	409
# 
409	German	the daughter-in-law (of a man)	132	2.64	Schwiegertochter	ʃviːɡər#tɔxtər	402
410	French	the daughter-in-law (of a man)	132	2.64	bru	bʀy	404
411	French	the daughter-in-law (of a man)	132	2.64	belle-fille	bɛl#fij	405
412	Dutch	the daughter-in-law (of a man)	132	2.64	schoondochter	sxoːn#dɔxtər	402
413	English	the daughter-in-law (of a man)	132	2.64	daughter-in-law	dɔːtər#ɪn#lɔː	402
# 
414	German	the stepfather	333	2.71	Stiefvater	ʃtiːf#faːtər	1005
415	French	the stepfather	333	2.71	beau-père	bo#pɛʀ	1005
416	Dutch	the stepfather	333	2.71	stiefvader	stiː#faːdər	1005
417	English	the stepfather	333	2.71	stepfather	stɛp#fɑːðər	1005
# 
418	German	the stepmother	335	2.72	Stiefmutter	ʃtiːf#mʊtər	1012
419	French	the stepmother	335	2.72	belle-mère	bɛl#mɛʀ	1012
420	Dutch	the stepmother	335	2.72	stiefmoeder	stiːf#muːdər	1012
421	English	the stepmother	335	2.72	stepmother	stɛp#mʌðər	1012
# 
422	German	the stepdaughter	336	2.74	Stieftochter	ʃtiːf#tɔxtər	1014
423	French	the stepdaughter	336	2.74	belle-fille	bɛl#fij	1015
424	Dutch	the stepdaughter	336	2.74	stiefdochter	stiːv#dɔxtər	1014
425	English	the stepdaughter	336	2.74	stepdaughter	stɛp#dɔːtər	1014
# 
426	German	the widower	337	2.77	Witwer	vɪtvər	1016
427	French	the widower	337	2.77	veuf	vœf	1016
428	Dutch	the widower	337	2.77	weduwnaar	weːdyːwn#aːr	1016
429	English	the widower	337	2.77	widower	wɪdəʊər	1016
# 
430	German	the family	144	2.82	Familie	famiːliː.ə	-445
431	French	the family	144	2.82	famille	famij	445
432	Dutch	the family	144	2.82	gezin	xəzɪn	447
433	English	the family	144	2.82	family	fæməlɪ	-445
# 
434	German	I	354	2.91	ich	ɪx	1069
435	French	I	354	2.91	je	ʒə	1069
436	French	I	354	2.91	moi	mwɑ	6010
437	Dutch	I	354	2.91	ik	ɪk	1069
438	English	I	354	2.91	I	aɪ	1069
# 
439	German	you (singular)	353	2.92	du	duː	1065
440	German	you (singular)	353	2.92	Sie	ziː	1067
441	French	you (singular)	353	2.92	tu	ty	1065
442	French	you (singular)	353	2.92	vous	vu	1068
443	Dutch	you (singular)	353	2.92	jij	jɛɪ	1066
444	English	you (singular)	353	2.92	you	juː	1066
# 
445	German	we	351	2.94	wir	viːr	1059
446	French	we	351	2.94	nous	nu	1061
447	Dutch	we	351	2.94	wij	wɛɪ	1059
448	English	we	351	2.94	we	wiː	1059
# 
449	German	you (plural)	350	2.95	ihr	iːr	1055
450	German	you (plural)	350	2.95	Sie	ziː	1058
451	French	you (plural)	350	2.95	vous	vu	1057
452	Dutch	you (plural)	350	2.95	jullie	jʉliː	6011
453	English	you (plural)	350	2.95	you	juː	1056
# 
454	German	they	349	2.96	sie	ziː	1052
455	French	they	349	2.96	eux	ø	1054
456	Dutch	they	349	2.96	zij	zɛɪ	1052
